iter	Logloss
0	0.6348144323
1	0.5874912154
2	0.5481565514
3	0.5158999923
4	0.4897736995
5	0.4679742433
6	0.4500969008
7	0.4354927374
8	0.4226327777
9	0.4126102047
10	0.4044690276
11	0.3968548205
12	0.3903979686
13	0.3853032703
14	0.3807149024
15	0.377009612
16	0.3738831413
17	0.3710992836
18	0.3688213244
19	0.3667398619
20	0.3646854501
21	0.3632096265
22	0.361851769
23	0.3606753652
24	0.3594637654
25	0.358048818
26	0.3570387222
27	0.3561435163
28	0.3552469901
29	0.3541001079
30	0.3534518445
31	0.3528694518
32	0.3521667879
33	0.3514593825
34	0.3510312331
35	0.3502476254
36	0.3496602387
37	0.3490416427
38	0.3485810914
39	0.3480811109
40	0.3476224137
41	0.3472058444
42	0.3467891198
43	0.3463231512
44	0.3459474773
45	0.3454561063
46	0.3450928271
47	0.3446369015
48	0.3443297164
49	0.3439749732
50	0.3437125303
51	0.343329131
52	0.3430493294
53	0.3427406754
54	0.3424012149
55	0.342087846
56	0.3418201135
57	0.3414897929
58	0.3411100674
59	0.3408152354
60	0.3405592827
61	0.3403197644
62	0.3399347933
63	0.3397524407
64	0.3395232268
65	0.3393002968
66	0.3388950716
67	0.3387048068
68	0.3384330093
69	0.3381812658
70	0.3380214042
71	0.3377893422
72	0.337640974
73	0.3372762001
74	0.3370400161
75	0.3367623992
76	0.3365123901
77	0.336401823
78	0.3362342743
79	0.3359749751
80	0.3356379732
81	0.3353483281
82	0.3351015517
83	0.3349395396
84	0.3346870124
85	0.3344261785
86	0.3341330438
87	0.3339158823
88	0.3335960191
89	0.3333520549
90	0.3330951229
91	0.33281941
92	0.3325962629
93	0.3324150324
94	0.3322245688
95	0.3320842262
96	0.33196024
97	0.331705939
98	0.3315491848
99	0.3312911935
100	0.3309776603
101	0.330847198
102	0.330689411
103	0.3304921888
104	0.3302187405
105	0.3299865336
106	0.3298157998
107	0.329665319
108	0.3295383138
109	0.329180973
110	0.3290651656
111	0.3288717933
112	0.3286940049
113	0.3284988918
114	0.3282842295
115	0.3281215992
116	0.3278957681
117	0.3277902123
118	0.3275646039
119	0.3273654085
120	0.3271275409
121	0.3269620116
122	0.326760005
123	0.3266265958
124	0.3263544558
125	0.326211551
126	0.326004877
127	0.3258485249
128	0.3256904718
129	0.3255577677
130	0.3253203858
131	0.3251512608
132	0.3249756346
133	0.3248574173
134	0.3247474409
135	0.3246803285
136	0.3245077435
137	0.324394297
138	0.3241984721
139	0.3239863689
140	0.3238385166
141	0.3235297625
142	0.3233568387
143	0.3231283457
144	0.3230306485
145	0.3229819109
146	0.3227754487
147	0.3226149696
148	0.3224311103
149	0.3221673578
150	0.3219156398
151	0.3216291781
152	0.321381026
153	0.3212234877
154	0.3210765875
155	0.3208431425
156	0.3206289123
157	0.3205129351
158	0.3202774648
159	0.3200819017
160	0.319833706
161	0.3196225389
162	0.3194791828
163	0.3193699832
164	0.3192038946
165	0.3190557193
166	0.3189289851
167	0.3187726021
168	0.3185521055
169	0.3184143131
170	0.318185623
171	0.3180119078
172	0.3178538482
173	0.3176040407
174	0.3175562812
175	0.3173872898
176	0.3172101932
177	0.3170403469
178	0.3168428658
179	0.3166874233
180	0.3165234714
181	0.3163918216
182	0.31626128
183	0.3160827251
184	0.3158361291
185	0.3156731568
186	0.3154481335
187	0.3153259381
188	0.3151759209
189	0.3149769425
190	0.3148387401
191	0.3146269207
192	0.3144279736
193	0.3142274566
194	0.3140635741
195	0.3139135959
196	0.313698173
197	0.3136218399
198	0.3135786122
199	0.3133558938
200	0.3132032734
201	0.3130596658
202	0.3128997847
203	0.312645368
204	0.3125061994
205	0.3123589965
206	0.3121796237
207	0.3120560813
208	0.3119393308
209	0.3117705444
210	0.3116292571
211	0.3115371609
212	0.311368861
213	0.3112895915
214	0.3111555323
215	0.311036387
216	0.3109071917
217	0.310765643
218	0.310632821
219	0.310557716
220	0.310348948
221	0.3101575984
222	0.3099460251
223	0.3098020433
224	0.3097056066
225	0.309543911
226	0.3093469866
227	0.3091693313
228	0.309055868
229	0.3089260082
230	0.308757908
231	0.3085132415
232	0.3083570269
233	0.3082056944
