iter	Passed	Remaining
0	57	57514
1	126	62938
2	204	67906
3	266	66267
4	345	68666
5	418	69330
6	487	69151
7	602	74734
8	688	75802
9	772	76446
10	861	77487
11	948	78119
12	1030	78225
13	1110	78187
14	1193	78390
15	1272	78285
16	1382	79968
17	1457	79492
18	1546	79862
19	1616	79218
20	1701	79337
21	1779	79116
22	1863	79171
23	1959	79684
24	2048	79872
25	2119	79390
26	2195	79108
27	2262	78525
28	2327	77940
29	2420	78247
30	2517	78680
31	2612	79019
32	2681	78565
33	2761	78465
34	2843	78408
35	2935	78618
36	3010	78365
37	3076	77881
38	3164	77980
39	3230	77540
40	3295	77089
41	3360	76647
42	3432	76401
43	3498	76010
44	3573	75841
45	3649	75689
46	3719	75418
47	3790	75168
48	3855	74822
49	3921	74503
50	3993	74302
51	4075	74307
52	4156	74264
53	4229	74093
54	4300	73892
55	4371	73684
56	4437	73407
57	4506	73193
58	4577	73006
59	4656	72944
60	4720	72659
61	4787	72433
62	4857	72252
63	4928	72077
64	4991	71798
65	5066	71693
66	5127	71408
67	5197	71240
68	5264	71038
69	5337	70910
70	5402	70686
71	5482	70657
72	5554	70532
73	5631	70470
74	5707	70392
75	5798	70503
76	5876	70436
77	5949	70324
78	6091	71020
79	6224	71584
80	6312	71613
81	6387	71512
82	6454	71305
83	6530	71211
84	6601	71058
85	6665	70839
86	6731	70643
87	6792	70390
88	6860	70219
89	6924	70015
90	6994	69869
91	7068	69762
92	7129	69529
93	7195	69349
94	7263	69197
95	7350	69215
96	7443	69297
97	7528	69291
98	7618	69332
99	7714	69427
100	7793	69372
101	7867	69265
102	7942	69170
103	8085	69660
104	8323	70948
105	8491	71615
106	8600	71777
107	8679	71686
108	8754	71561
109	8830	71449
110	8908	71345
111	8981	71209
112	9055	71080
113	9123	70910
114	9188	70711
115	9258	70554
116	9324	70374
117	9390	70187
118	9468	70100
119	9539	69955
120	9605	69778
121	9685	69705
122	9770	69665
123	9839	69510
124	9905	69341
125	9974	69187
126	10043	69041
127	10114	68904
128	10175	68702
129	10241	68541
130	10311	68401
131	10378	68243
132	10444	68084
133	10517	67972
134	10584	67821
135	10666	67765
136	10757	67761
137	10847	67757
138	10932	67718
139	11021	67702
140	11131	67813
141	11227	67841
142	11308	67773
143	11372	67604
144	11439	67452
145	11515	67356
146	11589	67251
147	11663	67146
148	11735	67026
149	11798	66858
150	11862	66695
151	11930	66559
152	11999	66428
153	12065	66280
154	12144	66208
155	12208	66049
156	12281	65946
157	12348	65804
158	12417	65680
159	12499	65619
160	12566	65488
161	12645	65414
162	12706	65249
163	12784	65168
164	12861	65089
165	12934	64984
166	13003	64862
167	13074	64750
168	13146	64645
169	13216	64528
170	13288	64420
171	13356	64299
172	13431	64207
173	13498	64077
174	13563	63943
175	13636	63842
176	13702	63710
177	13771	63596
178	13851	63531
179	13922	63425
180	13996	63333
181	14065	63218
182	14158	63208
183	14230	63108
184	14306	63026
185	14372	62897
186	14450	62825
187	14524	62733
188	14603	62662
189	14684	62603
190	14745	62453
191	14813	62339
192	14887	62249
193	14956	62137
194	15020	62006
195	15095	61922
196	15167	61825
197	15236	61714
198	15303	61599
199	15372	61491
200	15437	61365
201	15507	61262
