iter	Logloss
0	0.6370975
1	0.5900765353
2	0.551779928
3	0.5195641503
4	0.4919681006
5	0.4700831168
6	0.4524729222
7	0.4374884946
8	0.4241785319
9	0.4140773765
10	0.4053910643
11	0.3978202955
12	0.3915483966
13	0.3867583513
14	0.3825461749
15	0.3781324047
16	0.3745720103
17	0.3714889839
18	0.3690317488
19	0.3666269394
20	0.3649085456
21	0.3628642789
22	0.3611072103
23	0.3595984131
24	0.3583565327
25	0.3571592164
26	0.3559986887
27	0.3551111089
28	0.3541194801
29	0.3533882851
30	0.3524769148
31	0.3514839016
32	0.3508611142
33	0.3502579251
34	0.3495623692
35	0.3489311777
36	0.3482068304
37	0.3476040962
38	0.3471035901
39	0.3464900328
40	0.3458474153
41	0.3454484583
42	0.3450311171
43	0.3444848665
44	0.3440375235
45	0.3433946542
46	0.3430438535
47	0.3424435987
48	0.3418709766
49	0.3414218761
50	0.3409398818
51	0.3404880894
52	0.3401472863
53	0.3397532003
54	0.3392404959
55	0.3388143535
56	0.3385172843
57	0.338224261
58	0.3378807763
59	0.3374921574
60	0.3371504314
61	0.3369404721
62	0.3366516239
63	0.3361853337
64	0.3358888285
65	0.3355499358
66	0.3351932018
67	0.3349410079
68	0.3345094285
69	0.3341915867
70	0.3339270951
71	0.3335702
72	0.3331469807
73	0.3326702919
74	0.3323186951
75	0.3318817779
76	0.3316750184
77	0.3313223665
78	0.3307830787
79	0.3306369131
80	0.3303661977
81	0.3301301373
82	0.329752623
83	0.3294482915
84	0.3292587679
85	0.3290221907
86	0.32867756
87	0.3282682594
88	0.328044236
89	0.3277846376
90	0.3275255416
91	0.3272349236
92	0.3269224617
93	0.3265873587
94	0.3262980723
95	0.325980849
96	0.3256471214
97	0.3252175329
98	0.3249705046
99	0.3245945993
100	0.3243002555
101	0.3239904956
102	0.3236061863
103	0.3233745813
104	0.3230755094
105	0.3227969989
106	0.3225783605
107	0.3224103755
108	0.3222300563
109	0.3219014684
110	0.3215026751
111	0.3211488681
112	0.3208196471
113	0.3206188914
114	0.3203683802
115	0.3201512849
116	0.3199404391
117	0.3197488837
118	0.3194851079
119	0.3192522995
120	0.3190170371
121	0.3187736357
122	0.3185419564
123	0.3180820798
124	0.3178112329
125	0.3175657005
126	0.3172620322
127	0.3169767719
128	0.3166902118
129	0.3163230731
130	0.3160776567
131	0.3157666791
132	0.3154859555
133	0.3153274635
134	0.315065589
135	0.3148720858
136	0.3147884084
137	0.3144268566
138	0.3141610769
139	0.3139454858
140	0.3137564918
141	0.3135072259
142	0.313268756
143	0.3128543723
144	0.3126219799
145	0.312333016
146	0.3121208497
147	0.3117554633
148	0.3115450041
149	0.3113443242
150	0.3111379198
151	0.3108993859
152	0.3107177669
153	0.3103958556
154	0.3102046602
155	0.3099064264
156	0.3096648278
157	0.309424772
158	0.3092176347
159	0.3088818285
160	0.3086908325
161	0.3084922393
162	0.3082893586
163	0.3080227786
164	0.3078339756
165	0.3076306033
166	0.3074207663
167	0.3072000654
168	0.3070196854
169	0.3068176383
170	0.306604494
171	0.3063837864
172	0.3061631375
173	0.3059831167
174	0.3057563182
175	0.3056057709
176	0.3053300764
177	0.3051350064
178	0.3048727107
179	0.3045849847
180	0.3043521784
181	0.3041754534
182	0.3039915659
183	0.3036669049
184	0.3033649435
185	0.3031881323
186	0.3029091499
187	0.3027658544
188	0.3025752768
189	0.3023763769
190	0.3021096077
191	0.3019701797
192	0.3017291711
193	0.3016259323
194	0.3014294682
195	0.3012248096
196	0.3010269381
197	0.3008039786
198	0.3005929028
199	0.3004073041
200	0.3002940887
201	0.3001544053
202	0.2999966367
203	0.2999009383
204	0.2997785427
205	0.2995919513
206	0.2992181477
207	0.2991208255
208	0.2987575256
209	0.2985960188
210	0.2984093496
211	0.2981247596
212	0.2979913638
213	0.2978569007
214	0.2976991598
215	0.297550185
216	0.2973273102
217	0.2971516509
218	0.2970320073
219	0.2968096787
220	0.2966794566
221	0.2965194172
222	0.2962891044
223	0.2961244885
224	0.2958820246
225	0.2956872087
226	0.2955427141
227	0.2954297
228	0.2952743199
229	0.2951734848
230	0.2950295205
231	0.2948795894
232	0.2947514333
233	0.2945322722
234	0.2943890465
235	0.2942914784
236	0.2940974233
237	0.2938482522
238	0.2936245392
239	0.293423878
240	0.2933025582
241	0.2930032218
242	0.292757342
243	0.2925490384
244	0.2924398712
245	0.292247292
246	0.2920430299
247	0.291967926
248	0.2919169823
249	0.2918523152
250	0.2916812088
251	0.2913804161
252	0.2912023359
253	0.2910068252
254	0.2907792621
255	0.2905991813
256	0.2903456312
257	0.2902389609
258	0.2901326446
259	0.2900104294
260	0.2897938495
261	0.289688112
262	0.2894993369
263	0.2893246109
264	0.2892058613
265	0.2890067731
266	0.2887929167
267	0.2886212407
268	0.2883860488
269	0.2881785841
270	0.2880652711
271	0.2877991138
272	0.287652985
273	0.2873714219
274	0.28717521
275	0.2870285952
276	0.2869294372
277	0.2868054569
278	0.2866757458
279	0.2865496655
280	0.2864420551
281	0.2863291835
282	0.286100027
283	0.285891182
284	0.2857508063
285	0.2856421203
286	0.2855742763
287	0.2853294278
288	0.2851641179
289	0.2849708197
290	0.2848025611
291	0.2846307006
292	0.2844291862
293	0.2843884452
294	0.2841561028
295	0.2840400322
296	0.283882837
297	0.2837343866
298	0.2836252417
299	0.2834668354
300	0.2832763981
301	0.2831204914
302	0.2828707548
303	0.2827312883
304	0.2825492976
305	0.2824080026
306	0.2822365051
307	0.2820966657
308	0.2819885386
309	0.2817539767
310	0.2816161791
311	0.2815290033
312	0.281394794
313	0.2813027178
314	0.2812322657
315	0.2810928508
316	0.2809214487
317	0.2807977904
318	0.2806405138
319	0.2804638572
320	0.2802321515
321	0.2800218657
322	0.279905923
323	0.2797544187
324	0.2796162341
325	0.2794686864
326	0.2792518939
327	0.2791302882
328	0.2789397968
329	0.2788531918
330	0.2786407485
331	0.2784267675
332	0.2782557497
333	0.2780678014
334	0.2778934203
335	0.2777842448
336	0.2776934844
337	0.2775273274
338	0.2773906472
339	0.2772350483
340	0.2770985662
341	0.2769715022
342	0.2767989892
343	0.2766316138
344	0.276418519
345	0.2762073764
346	0.2760758225
347	0.275885263
348	0.2757679168
349	0.2756350932
350	0.2756131704
351	0.2754573301
352	0.2753312424
353	0.275147821
354	0.2750550256
355	0.275021316
356	0.2748791787
357	0.274792643
358	0.274730625
359	0.2746491227
360	0.2745381351
361	0.2743749936
362	0.2742593384
363	0.274183679
364	0.2740068792
365	0.2738743036
366	0.273847108
367	0.2737455277
368	0.2735577802
369	0.2733903246
370	0.2732483239
371	0.2730705164
372	0.2728971709
373	0.2727541557
374	0.2725977893
375	0.2723663631
376	0.272228861
377	0.2721565168
378	0.2720426254
379	0.2719153563
380	0.2717891769
381	0.2716855342
382	0.2715936574
383	0.2714517995
384	0.2712475414
385	0.2710976298
386	0.2710012197
387	0.2708171677
388	0.2706381301
389	0.2705172396
390	0.270309709
391	0.2701101917
392	0.2700103939
393	0.2698641555
394	0.2697898691
395	0.2696439257
396	0.2694774761
397	0.2693629042
398	0.2692325677
399	0.2690773575
400	0.2689372762
401	0.2687903627
402	0.268709577
403	0.2686550162
404	0.2685035288
405	0.2683573592
406	0.2682303234
407	0.2681218246
408	0.2680621606
409	0.2679317206
410	0.2677698647
411	0.2675910017
412	0.2674279246
413	0.2673117582
414	0.267222732
415	0.267080656
416	0.266926253
417	0.2668549727
418	0.2667622672
419	0.2666109237
420	0.266462673
421	0.2662439326
422	0.2661100877
423	0.2659656858
424	0.2659060033
425	0.2658097863
426	0.2656808605
427	0.2655156804
428	0.2653580792
429	0.2652190089
430	0.265039467
431	0.26495371
432	0.2648421891
433	0.2646920348
434	0.2646453598
435	0.2645607981
436	0.2644597209
437	0.2643002234
438	0.2641935784
439	0.2640978979
440	0.2639607456
441	0.2638256388
442	0.2637290626
443	0.2635977801
444	0.2634612433
445	0.2633710846
446	0.2632410693
447	0.2631862666
448	0.2630804441
449	0.2629844359
450	0.262891972
451	0.2627516564
452	0.2627004554
453	0.2625606914
454	0.2624454847
455	0.2623417245
456	0.2622207846
457	0.2620418577
458	0.2619184864
459	0.2617928998
460	0.2616958256
461	0.2615574892
462	0.2614207555
463	0.2612643138
464	0.2611455639
465	0.2609823253
466	0.260863881
467	0.260690331
468	0.2605965525
469	0.2604640337
470	0.2603175712
471	0.2602206101
472	0.2600501166
473	0.2598920231
474	0.2597441587
475	0.2596019118
476	0.2594648478
477	0.2593869339
478	0.2593284917
479	0.2591434351
480	0.2589538165
481	0.2588084223
482	0.2586489269
483	0.2584500114
484	0.2582689916
485	0.258132732
486	0.2579810877
487	0.2578591883
488	0.2577681169
489	0.2576731137
490	0.2575839379
491	0.2575258005
492	0.2574536318
493	0.2573804038
494	0.2573490726
495	0.2572150616
496	0.2570872009
497	0.256917123
498	0.2568380998
499	0.2567528635
500	0.2567085013
501	0.2565771745
502	0.2564854977
503	0.2563893689
504	0.2562937392
505	0.2561748308
506	0.2560894161
507	0.2559417292
508	0.2558467058
509	0.2557712319
510	0.2556302553
511	0.2555263356
512	0.2554291363
513	0.2553375736
514	0.2552030109
515	0.2551338943
516	0.2550270824
517	0.2549483939
518	0.2548120268
519	0.2547039174
520	0.2545836494
521	0.2544880711
522	0.254449201
523	0.2544050621
524	0.2543109954
525	0.2541644054
526	0.2541080715
527	0.2540373451
528	0.2539945779
529	0.2538362566
530	0.2536794957
531	0.2535772086
532	0.2534807056
533	0.2533142933
534	0.2532076273
535	0.2530533189
536	0.2529281404
537	0.2528259143
538	0.2527111661
539	0.2525762737
540	0.252409535
541	0.2522900283
542	0.2522038839
543	0.2521109565
544	0.2519501807
545	0.2518289299
546	0.2516767331
547	0.2515597082
548	0.2514958306
549	0.2513776762
550	0.2512592459
551	0.2511348262
552	0.2510052511
553	0.2508934998
554	0.2507721322
555	0.2506584708
556	0.2504864873
557	0.2504845641
558	0.2504119468
559	0.2503006482
560	0.2501819555
561	0.2500717392
562	0.2499890162
563	0.2497885581
564	0.2497270325
565	0.2496141269
566	0.2495690812
567	0.2494512614
568	0.2492953128
569	0.2491915551
570	0.2491191325
571	0.2489629339
572	0.2488077627
573	0.2487128736
574	0.2485589347
575	0.2484868129
576	0.2483761451
577	0.2482483269
578	0.2481461857
579	0.2480634303
580	0.2479043939
581	0.2478227105
582	0.2476986051
583	0.247640533
584	0.2475209846
585	0.2473895183
586	0.2472817075
587	0.24721733
588	0.2471417601
589	0.2470401902
590	0.2468701137
591	0.2467640537
592	0.2466739793
593	0.246535482
594	0.2464928578
595	0.2463644693
596	0.2462909641
597	0.246204796
598	0.2460558272
599	0.2459639522
600	0.2458605428
601	0.2457397658
602	0.2456629966
603	0.2456272903
604	0.2455277441
605	0.2454276528
606	0.2452741975
607	0.2451964032
608	0.2451034071
609	0.2450415346
610	0.244970881
611	0.2448158495
612	0.2447668378
613	0.2446261027
614	0.2445512594
615	0.2443900162
616	0.2443142223
617	0.2442403975
618	0.2441541473
619	0.2441522356
620	0.2440765379
621	0.2438878337
622	0.2437922312
623	0.2437470228
624	0.2436774692
625	0.2435911483
626	0.2435144742
627	0.2433745216
628	0.2432602017
629	0.2431297991
630	0.2430111585
631	0.2429009709
632	0.2427953678
633	0.2426943245
634	0.2426225547
635	0.2425804394
636	0.2424199001
637	0.2423237876
638	0.242284686
639	0.242179446
640	0.2420910914
641	0.2419299525
642	0.2418328368
643	0.2417708994
644	0.2416461357
645	0.2415470353
646	0.2414442435
647	0.2413958495
648	0.2412726117
649	0.2410709333
650	0.2410125993
651	0.240864657
652	0.2407172351
653	0.2406243227
654	0.2405417888
655	0.2404156895
656	0.2403679769
657	0.2402664209
658	0.240203801
659	0.2400855992
660	0.2399602284
661	0.2398832245
662	0.2397626749
663	0.2395951968
664	0.2395266908
665	0.2394668071
666	0.2393737172
667	0.2392684087
668	0.239190469
669	0.239088464
670	0.2389922958
671	0.2389587483
672	0.2388393095
673	0.2387612445
674	0.2386638365
675	0.2385980451
676	0.2385972551
677	0.2384957218
678	0.2383582273
679	0.2382819956
680	0.2381795307
681	0.2381154068
682	0.2380585409
683	0.2380124442
684	0.2379655221
685	0.2378660664
686	0.237709768
687	0.2376137966
688	0.2374929689
689	0.2373802258
690	0.2372971627
691	0.2372037442
692	0.2370838139
693	0.2369547503
694	0.2368381851
695	0.2367493867
696	0.236671125
697	0.236666377
698	0.2365514111
699	0.2364778868
700	0.2364243696
701	0.2363497629
702	0.2362491749
703	0.2361268952
704	0.2359390389
705	0.235822195
706	0.2357625969
707	0.2356148644
708	0.2355396682
709	0.2354485583
710	0.2353552477
711	0.235262743
712	0.2352120192
713	0.2351283057
714	0.2350085995
715	0.2348626846
716	0.2347824471
717	0.2347207974
718	0.2346769125
719	0.2346572441
720	0.2346095108
721	0.2345474601
722	0.2345031092
723	0.2344052411
724	0.2343005179
725	0.234197212
726	0.2341251179
727	0.2340102724
728	0.2338290804
729	0.2337778447
730	0.2336993926
731	0.2335897942
732	0.2335234242
733	0.233412506
734	0.2333122883
735	0.2331534462
736	0.2331130037
737	0.2329913048
738	0.2328539493
739	0.232698488
740	0.2325909589
741	0.2324855692
742	0.2323640719
743	0.2323134442
744	0.2322188567
745	0.2321201483
746	0.2320094733
747	0.2318990648
748	0.2318123173
749	0.2317466372
750	0.2316555217
751	0.2315699314
752	0.2314881021
753	0.2314440817
754	0.2313239716
