iter	Passed	Remaining
0	222	222422
1	286	143017
2	378	125740
3	454	113109
4	537	106863
5	618	102483
6	702	99723
7	785	97442
8	892	98244
9	972	96289
10	1056	95006
11	1138	93703
12	1224	92974
13	1302	91751
14	1378	90499
15	1469	90357
16	1557	90087
17	1640	89482
18	1720	88818
19	1859	91113
20	1944	90658
21	2032	90371
22	2129	90467
23	2218	90211
24	2310	90123
25	2405	90100
26	2493	89860
27	2578	89494
28	2677	89638
29	2756	89120
30	2836	88679
31	2924	88452
32	3005	88083
33	3088	87741
34	3171	87430
35	3248	86996
36	3340	86935
37	3423	86661
38	3502	86306
39	3580	85932
40	3670	85849
41	3741	85347
42	3817	84957
43	3917	85115
44	3995	84794
45	4083	84688
46	4163	84412
47	4244	84178
48	4325	83950
49	4428	84132
50	4514	83999
51	4590	83686
52	4660	83270
53	4749	83207
54	4839	83143
55	4934	83188
56	5006	82823
57	5078	82486
58	5164	82367
59	5249	82240
60	5323	81939
61	5403	81752
62	5484	81563
63	5565	81394
64	5648	81246
65	5731	81110
66	5811	80929
67	5907	80965
68	6005	81034
69	6088	80890
70	6164	80656
71	6249	80544
72	6333	80422
73	6415	80282
74	6505	80232
75	6585	80063
76	6650	79715
77	6727	79519
78	6815	79452
79	6898	79327
80	6977	79169
81	7056	79000
82	7134	78820
83	7213	78664
84	7282	78392
85	7359	78215
86	7473	78431
87	7561	78360
88	7635	78159
89	7714	77999
90	7790	77817
91	7875	77726
92	8009	78109
93	8094	78014
94	8196	78080
95	8281	77979
96	8377	77988
97	8469	77956
98	8992	81839
99	9131	82185
100	9276	82565
101	9743	85781
102	10119	88125
103	10342	89103
104	10555	89970
105	10681	90089
106	10796	90107
107	10911	90122
108	11053	90350
109	11194	90575
110	11322	90678
111	11417	90527
112	11514	90386
113	11594	90110
114	11694	89999
115	11779	89764
116	11858	89493
117	11940	89250
118	12083	89456
119	12153	89129
120	12356	89760
121	12511	90042
122	12959	92405
123	13204	93283
124	13698	95888
125	14007	97164
126	14563	100107
127	14719	100274
128	14910	100674
129	15139	101319
130	15290	101429
131	15481	101799
132	15642	101967
133	15793	102069
134	15953	102220
135	16167	102711
136	16283	102573
137	16457	102799
138	16623	102969
139	16813	103284
140	16989	103501
141	17221	104056
142	17432	104471
143	17779	105688
144	17999	106134
145	18444	107889
146	18554	107668
147	18696	107633
148	18874	107799
149	19242	109043
150	19475	109500
151	19705	109937
152	19893	110128
153	20188	110908
154	20354	110966
155	20499	110909
156	20605	110641
157	20715	110394
158	20829	110171
159	21023	110374
160	21207	110517
161	21374	110564
162	21613	110986
163	21710	110670
164	21795	110297
165	21875	109903
166	21960	109540
167	22051	109207
168	22131	108825
169	22295	108855
170	22460	108886
171	22641	108996
172	22776	108877
173	22890	108663
174	22987	108371
175	23099	108147
176	23183	107795
177	23264	107433
178	23348	107091
179	23443	106797
180	23526	106455
181	23601	106079
182	23683	105736
183	23775	105440
184	23856	105097
185	23939	104766
186	24015	104411
187	24090	104050
188	24160	103673
189	24263	103437
190	24355	103161
191	24426	102794
192	24505	102467
193	24577	102111
194	24664	101822
195	24733	101458
196	24809	101125
197	24886	100800
198	24960	100470
199	25034	100137
200	25115	99838
201	25188	99505
202	25268	99208
203	25338	98870
204	25411	98547
205	25483	98224
206	25562	97929
207	25628	97584
208	25714	97323
209	25786	97005
210	25862	96708
211	25943	96432
212	26008	96098
213	26086	95812
214	26160	95516
215	26236	95229
216	26315	94953
217	26396	94688
218	26466	94384
219	26542	94104
220	26616	93820
221	26696	93558
222	26780	93312
223	26857	93041
224	26937	92783
225	27009	92502
226	27080	92216
227	27154	91943
228	27223	91654
229	27293	91373
230	27388	91178
231	27465	90921
232	27536	90645
233	27619	90411
234	27689	90138
235	27758	89861
236	27827	89588
237	27914	89372
238	27998	89148
239	28073	88899
240	28148	88651
241	28229	88422
242	28312	88198
243	28392	87969
244	28464	87715
245	28542	87482
246	28613	87232
247	28682	86974
248	28754	86725
249	28820	86462
250	28899	86239
251	28989	86047
252	29070	85833
253	29151	85617
254	29239	85424
255	29308	85178
256	29388	84962
257	29456	84715
258	29523	84467
259	29604	84258
260	29688	84060
261	29753	83808
262	29833	83602
263	29916	83402
264	29992	83187
265	30070	82977
266	30145	82759
267	30224	82553
268	30302	82346
269	30382	82145
270	30456	81929
271	30547	81759
272	30621	81544
273	30702	81349
274	30782	81154
275	30860	80953
276	30929	80729
277	31002	80517
278	31080	80319
279	31154	80111
280	31225	79896
281	31302	79698
282	31390	79529
283	31487	79384
284	31571	79205
285	31657	79032
286	31726	78819
287	31808	78638
288	31891	78460
289	31970	78272
290	32050	78088
291	32126	77896
292	32202	77702
293	32262	77473
294	32338	77283
295	32424	77116
296	32500	76928
297	32578	76744
298	32658	76566
299	32739	76391
300	32811	76197
301	32887	76010
302	32966	75834
303	33045	75657
304	33125	75481
305	33200	75296
306	33277	75118
307	33365	74964
308	33439	74779
309	33520	74611
310	33592	74422
311	33668	74243
312	33740	74055
313	33806	73858
314	33887	73692
315	33958	73505
316	34038	73339
317	34115	73165
318	34186	72982
319	34255	72792
320	34337	72632
321	34417	72468
322	34487	72284
323	34565	72117
324	34641	71948
325	34724	71792
326	34802	71626
327	34881	71464
328	34973	71328
329	35045	71152
330	35128	71000
331	35210	70845
332	35291	70688
333	35371	70530
334	35449	70370
335	35524	70203
336	35596	70030
337	35682	69886
338	35756	69720
339	35829	69552
340	35910	69399
341	35986	69236
342	36071	69093
343	36159	68955
344	36248	68819
345	36331	68671
346	36401	68502
347	36472	68333
348	36542	68163
349	36609	67988
350	36672	67807
351	36742	67640
352	36809	67467
353	36884	67309
354	36954	67143
355	37014	66958
356	37087	66799
357	37153	66628
358	37217	66452
359	37281	66277
360	37358	66128
361	37430	65969
362	37502	65810
363	37573	65650
364	37640	65483
365	37719	65338
366	37776	65157
367	37845	64995
368	37928	64859
369	37997	64697
370	38072	64548
371	38162	64424
372	38232	64266
373	38314	64130
374	38413	64022
375	38500	63894
376	38576	63747
377	38653	63604
378	38727	63455
379	38809	63321
380	38892	63187
381	38960	63029
382	39038	62890
383	39118	62753
384	39208	62631
385	39287	62493
386	39360	62345
387	39448	62222
388	39547	62117
389	39624	61976
390	39706	61845
391	39787	61711
392	39861	61567
393	39939	61430
394	40012	61285
395	40097	61158
396	40179	61027
397	40246	60874
398	40321	60735
399	40403	60605
400	40492	60486
401	40568	60348
402	40636	60198
403	40707	60053
404	40784	59917
405	40861	59783
406	40945	59657
407	41020	59519
408	41085	59367
409	41164	59236
410	41252	59119
411	41334	58992
412	41413	58861
413	41493	58733
414	41570	58598
415	41645	58464
416	41730	58342
417	41797	58196
418	41877	58068
419	41957	57940
420	42028	57801
421	42102	57665
422	42174	57528
423	42256	57405
424	42322	57259
425	42394	57122
426	42462	56980
427	42538	56851
428	42645	56760
429	42708	56613
430	42776	56473
431	42840	56327
432	42901	56178
433	42969	56038
434	43034	55895
435	43112	55769
436	43178	55628
437	43255	55501
438	43316	55353
439	43389	55223
440	43460	55089
441	43526	54949
442	43593	54812
443	43660	54673
444	43729	54538
445	43795	54400
446	43863	54265
447	43927	54124
448	43992	53986
449	44071	53865
450	44139	53730
451	44205	53594
452	44269	53455
453	44332	53316
454	44392	53173
455	44458	53037
456	44524	52903
457	44594	52773
458	44700	52685
459	44816	52611
460	44896	52493
461	44968	52365
462	45048	52247
463	45131	52134
464	45213	52020
465	45295	51905
466	45377	51790
467	45455	51672
468	45525	51544
469	45603	51425
470	45680	51305
471	45755	51184
472	45838	51071
473	45917	50955
474	45995	50836
475	46072	50718
476	46147	50597
477	46208	50462
478	46264	50321
479	46337	50199
480	46406	50072
481	46476	49947
482	46542	49819
483	46615	49697
484	46684	49572
485	46756	49450
486	46827	49327
487	46892	49198
488	46948	49061
489	47029	48949
490	47105	48832
491	47174	48708
492	47245	48587
493	47312	48462
494	47375	48333
495	47453	48218
496	47522	48095
497	47603	47986
498	47679	47870
499	47747	47747
500	47816	47625
501	47893	47511
502	47961	47389
503	48041	47279
504	48119	47166
505	48198	47055
506	48282	46948
507	48357	46833
508	48426	46714
509	48501	46599
510	48585	46493
511	48653	46373
512	48721	46252
513	48795	46137
514	48876	46029
515	48944	45909
516	49028	45803
517	49101	45689
518	49164	45564
519	49233	45446
520	49299	45325
521	49369	45208
522	49427	45080
523	49489	44955
524	49550	44831
525	49618	44713
526	49685	44594
527	49756	44479
528	49819	44357
529	49890	44242
530	49965	44131
531	50027	44008
532	50086	43884
533	50156	43769
534	50231	43659
535	50295	43539
536	50355	43416
537	50415	43293
538	50481	43176
539	50556	43066
540	50622	42949
541	50690	42834
542	50753	42715
543	50818	42598
544	50886	42482
545	50947	42362
546	51034	42264
547	51107	42154
548	51176	42040
549	51266	41945
550	51342	41837
551	51414	41727
552	51487	41618
553	51558	41507
554	51638	41403
555	51711	41294
556	51785	41186
557	51841	41064
558	51905	40948
559	51983	40843
560	52053	40733
561	52120	40620
562	52196	40514
563	52270	40407
564	52324	40285
565	52390	40172
566	52443	40049
567	52507	39935
568	52580	39828
569	52649	39717
570	52709	39601
571	52789	39499
572	52866	39396
573	52929	39282
574	53007	39179
575	53083	39075
576	53149	38963
577	53218	38855
578	53277	38738
579	53353	38635
580	53429	38531
581	53493	38419
582	53555	38306
583	53620	38195
584	53690	38088
585	53758	37979
586	53823	37869
587	53884	37755
588	53957	37650
589	54034	37549
590	54118	37452
591	54196	37351
592	54279	37254
593	54360	37155
594	54424	37045
595	54500	36943
596	54563	36832
597	54636	36729
598	54714	36628
599	54790	36527
600	54855	36418
601	54924	36312
602	54993	36206
603	55060	36099
604	55142	36002
605	55207	35894
606	55282	35792
607	55345	35683
608	55412	35576
609	55468	35463
610	55532	35355
611	55601	35250
612	55667	35144
613	55726	35033
614	55794	34928
615	55865	34825
616	55930	34718
617	56000	34614
618	56063	34507
619	56112	34391
620	56181	34288
621	56245	34181
622	56305	34072
623	56373	33968
624	56430	33858
625	56488	33748
626	56555	33644
627	56619	33539
628	56692	33438
629	56761	33336
630	56824	33230
631	56888	33124
632	56970	33030
633	57057	32938
634	57125	32835
635	57185	32728
636	57255	32627
637	57326	32527
638	57388	32421
639	57460	32321
640	57525	32218
641	57590	32114
642	57653	32009
643	57718	31906
644	57785	31804
645	57847	31699
646	57914	31597
647	57971	31490
648	58045	31392
649	58123	31297
650	58184	31192
651	58251	31091
652	58321	30991
653	58389	30891
654	58452	30788
655	58519	30687
656	58585	30585
657	58654	30486
658	58712	30381
659	58777	30279
660	58846	30180
661	58920	30083
662	58995	29987
663	59082	29897
664	59156	29800
665	59223	29700
666	59302	29606
667	59374	29509
668	59441	29409
669	59519	29315
670	59595	29220
671	59662	29120
672	59745	29029
673	59809	28928
674	59876	28829
675	59946	28731
676	59993	28622
677	60052	28520
678	60127	28425
679	60186	28323
680	60251	28223
681	60314	28123
682	60376	28022
683	60429	27917
684	60486	27814
685	60549	27715
686	60626	27621
687	60685	27520
688	60754	27423
689	60818	27324
690	60884	27226
691	60960	27132
692	61046	27043
693	61114	26946
694	61185	26851
695	61250	26752
696	61311	26653
697	61362	26549
698	61426	26451
699	61491	26353
700	61553	26254
701	61609	26153
702	61678	26057
703	61746	25961
704	61810	25864
705	61873	25765
706	61936	25668
707	62006	25573
708	62075	25477
709	62157	25388
710	62221	25291
711	62295	25198
712	62354	25099
713	62413	25000
714	62486	24907
715	62566	24816
716	62642	24724
717	62712	24630
718	62773	24533
719	62826	24432
720	62896	24338
721	62974	24247
722	63046	24154
723	63118	24061
724	63187	23967
725	63260	23875
726	63323	23779
727	63392	23685
728	63463	23592
729	63525	23495
730	63606	23406
731	63691	23318
732	63757	23224
733	63830	23131
734	63906	23041
735	63981	22949
736	64043	22854
737	64116	22762
738	64195	22672
739	64275	22583
740	64352	22492
741	64465	22415
742	64562	22331
743	64646	22244
744	64714	22150
745	64777	22055
746	64848	21963
747	64925	21873
748	64999	21782
749	65068	21689
750	65145	21599
751	65220	21508
752	65285	21415
753	65342	21318
754	65416	21227
755	65483	21134
756	65547	21041
757	65614	20948
758	65682	20855
759	65749	20762
760	65811	20668
761	65884	20578
762	65962	20489
763	66034	20398
764	66104	20306
765	66180	20217
766	66255	20127
767	66325	20035
768	66386	19941
769	66450	19848
770	66520	19757
771	66593	19667
772	66663	19576
773	66731	19484
774	66792	19391
775	66854	19298
776	66927	19208
777	67007	19120
778	67074	19028
779	67134	18935
780	67210	18846
781	67280	18755
782	67345	18664
783	67417	18574
784	67487	18483
785	67557	18393
786	67625	18302
787	67691	18211
788	67753	18119
789	67817	18027
790	67888	17937
791	67972	17851
792	68053	17764
793	68141	17679
794	68208	17588
795	68278	17498
796	68348	17408
797	68421	17319
798	68493	17230
799	68573	17143
800	68640	17052
801	68716	16964
802	68789	16876
803	68855	16785
804	68936	16698
805	69016	16611
806	69094	16524
807	69158	16433
808	69225	16343
809	69296	16254
810	69359	16163
811	69422	16073
812	69480	15981
813	69549	15892
814	69616	15802
815	69676	15711
816	69745	15622
817	69821	15534
818	69896	15447
819	69963	15357
820	70041	15270
821	70115	15183
822	70178	15093
823	70246	15004
824	70303	14912
825	70375	14824
826	70429	14733
827	70491	14643
828	70554	14553
829	70609	14462
830	70678	14373
831	70748	14285
832	70812	14196
833	70891	14110
834	70973	14024
835	71041	13936
836	71118	13849
837	71180	13760
838	71238	13670
839	71301	13581
840	71365	13492
841	71414	13400
842	71478	13312
843	71537	13222
844	71583	13130
845	71652	13043
846	71710	12953
847	71773	12865
848	71844	12778
849	71926	12692
850	72004	12607
851	72082	12521
852	72139	12432
853	72204	12344
854	72266	12255
855	72334	12168
856	72397	12080
857	72464	11993
858	72529	11905
859	72598	11818
860	72661	11730
861	72734	11644
862	72798	11556
863	72886	11472
864	72958	11386
865	73018	11298
866	73082	11211
867	73153	11124
868	73218	11037
869	73282	10950
870	73359	10864
871	73425	10778
872	73471	10688
873	73542	10602
874	73606	10515
875	73667	10427
876	73747	10343
877	73825	10258
878	73905	10173
879	73983	10088
880	74060	10003
881	74130	9917
882	74203	9832
883	74276	9746
884	74349	9661
885	74405	9573
886	74476	9488
887	74541	9401
888	74614	9316
889	74677	9229
890	74744	9143
891	74816	9058
892	74891	8973
893	74958	8887
894	75028	8802
895	75099	8716
896	75159	8630
897	75234	8545
898	75299	8459
899	75358	8373
900	75412	8286
901	75466	8199
902	75540	8114
903	75610	8029
904	75674	7943
905	75738	7858
906	75799	7772
907	75875	7687
908	75937	7602
909	76011	7517
910	76088	7433
911	76157	7348
912	76215	7262
913	76271	7176
914	76334	7091
915	76395	7005
916	76452	6919
917	76525	6835
918	76590	6750
919	76649	6665
920	76721	6580
921	76783	6495
922	76863	6412
923	76937	6328
924	76998	6243
925	77063	6158
926	77135	6074
927	77197	5989
928	77262	5904
929	77327	5820
930	77386	5735
931	77456	5651
932	77517	5566
933	77581	5482
934	77642	5397
935	77702	5312
936	77769	5228
937	77836	5144
938	77895	5060
939	77960	4976
940	78022	4891
941	78085	4807
942	78157	4724
943	78226	4640
944	78287	4556
945	78353	4472
946	78419	4388
947	78492	4305
948	78563	4222
949	78631	4138
950	78698	4054
951	78776	3971
952	78851	3888
953	78909	3804
954	78977	3721
955	79062	3638
956	79128	3555
957	79195	3472
958	79255	3388
959	79317	3304
960	79375	3221
961	79431	3137
962	79500	3054
963	79567	2971
964	79640	2888
965	79713	2805
966	79798	2723
967	79870	2640
968	79939	2557
969	80012	2474
970	80087	2391
971	80156	2309
972	80228	2226
973	80290	2143
974	80351	2060
975	80419	1977
976	80486	1894
977	80553	1812
978	80620	1729
979	80678	1646
980	80743	1563
981	80811	1481
982	80886	1398
983	80954	1316
984	81025	1233
985	81095	1151
986	81160	1068
987	81225	986
988	81287	904
989	81346	821
990	81410	739
991	81472	657
992	81534	574
993	81607	492
994	81663	410
995	81724	328
996	81800	246
997	81866	164
998	81936	82
999	82010	0
