iter	Logloss
0	0.642187907
1	0.5989225077
2	0.5623333816
3	0.5318293177
4	0.5058889508
5	0.4846594184
6	0.4664756455
7	0.4512927278
8	0.4381823003
9	0.4273780352
10	0.4179777762
11	0.4102252405
12	0.4033314639
13	0.3981180333
14	0.3935411035
15	0.389011805
16	0.384931695
17	0.3813778378
18	0.3781510622
19	0.3751228551
20	0.3728307316
21	0.3709014037
22	0.3691671525
23	0.367541772
24	0.3663710099
25	0.3650448953
26	0.3636316178
27	0.3624979605
28	0.3615463855
29	0.3606248389
30	0.3597589282
31	0.3590106697
32	0.3583279184
33	0.3576829045
34	0.3568573739
35	0.3563551795
36	0.3558165965
37	0.355211163
38	0.3547005618
39	0.3542280322
40	0.3538403169
41	0.3532739776
42	0.3528404912
43	0.3522944602
44	0.3515975214
45	0.3511291061
46	0.3507459213
47	0.3504415069
48	0.3501483503
49	0.3498391886
50	0.3493151575
51	0.3489072984
52	0.3485385944
53	0.3481224737
54	0.3476753063
55	0.3471699035
56	0.3469171979
57	0.3465681726
58	0.3462419882
59	0.345890045
60	0.3454916769
61	0.3450852922
62	0.344743096
63	0.3443993923
64	0.3440773134
65	0.3437859416
66	0.343458216
67	0.3430183297
68	0.3425742343
69	0.3423239644
70	0.3419130797
71	0.3416475714
72	0.3413920658
73	0.3410874217
74	0.3408364227
75	0.3405460146
76	0.3402335635
77	0.3399630735
78	0.3396803727
79	0.339388907
80	0.339007081
81	0.3386820014
82	0.3384790321
83	0.3380736126
84	0.3378448329
85	0.3374730532
86	0.3370496845
87	0.3367408691
88	0.3365715374
89	0.3361521951
90	0.3359424503
91	0.3355690635
92	0.3352271899
93	0.3349340872
94	0.3346801116
95	0.3343621114
96	0.3341968472
97	0.334057377
98	0.3337607556
99	0.3335644314
100	0.3333736772
101	0.3330368252
102	0.3327533117
103	0.3324131669
104	0.3321763374
105	0.3318810315
106	0.3316882132
107	0.331408334
108	0.3312097633
109	0.3310450132
110	0.3309111537
111	0.3306605268
112	0.3304068964
113	0.3301814692
114	0.3299717388
115	0.3298290396
116	0.3295784659
117	0.3293947983
118	0.329138672
119	0.3289182601
120	0.3287117931
121	0.3284522432
122	0.3282926563
123	0.3281166302
124	0.3278978817
125	0.3277060735
126	0.3275761993
127	0.3273319789
128	0.3271037472
129	0.3269039681
130	0.3266698728
131	0.3263303361
132	0.3260889925
133	0.3259932555
134	0.3259010332
135	0.3256980039
136	0.3255740588
137	0.3253333143
138	0.325072858
139	0.324869144
140	0.3247232615
141	0.3244147133
142	0.3241364717
143	0.3238377398
144	0.3236713182
145	0.3235499533
146	0.3233261302
147	0.3230329434
148	0.3227572507
149	0.3225708426
150	0.3224734586
151	0.3222037338
152	0.3220130658
153	0.3217384449
154	0.3215671233
155	0.321315652
156	0.3211233741
157	0.3208842717
158	0.3206080974
159	0.3204192514
160	0.3202249365
161	0.3200322744
162	0.3198073812
163	0.3196331099
164	0.3193467011
165	0.3190476004
166	0.3188297554
167	0.3185967613
168	0.3185187186
169	0.3182300442
170	0.3179962389
171	0.3177553821
172	0.3176097233
173	0.317447436
174	0.3172606533
175	0.3170353799
176	0.3167389283
177	0.3165110762
178	0.3162825452
179	0.3160285109
180	0.3158655087
181	0.3156127301
182	0.3154121755
183	0.3151690695
184	0.3149951328
185	0.314831047
186	0.3144927379
187	0.3143765947
188	0.3141444494
189	0.3139406252
190	0.3137218268
191	0.3135126809
192	0.3133659446
193	0.3132468908
194	0.3130458354
195	0.3128749165
196	0.3128023647
197	0.3124822333
198	0.3123440619
199	0.3121655693
200	0.3119523809
201	0.311774717
202	0.3115690383
203	0.3113623754
204	0.3111807226
205	0.3109547048
206	0.3107408512
207	0.3104659767
208	0.3102479113
209	0.3099992386
210	0.3098111702
211	0.309689861
212	0.3095405041
213	0.3093612777
214	0.3092164807
215	0.3090340527
216	0.3088950659
217	0.3086670606
218	0.3085148686
219	0.3083085632
220	0.3081198136
221	0.3079198377
222	0.3077497528
223	0.3074936228
224	0.3073482002
225	0.30710296
226	0.3069448879
227	0.3067371716
228	0.3065152987
229	0.3063752356
230	0.3062273657
231	0.3061002734
232	0.3059610112
233	0.3058623224
234	0.3057315527
235	0.3055942854
236	0.3053140676
237	0.3051499872
238	0.3049965486
239	0.304822817
240	0.304625964
241	0.3044379629
242	0.3042656894
243	0.3041234441
244	0.3038724893
245	0.3037795905
246	0.3036587198
247	0.3033884781
248	0.3032202068
249	0.3030284811
250	0.3027853479
251	0.3025733566
252	0.3023515879
253	0.302081666
254	0.3019411378
255	0.3017696411
256	0.3016018363
257	0.3013193056
258	0.3011880285
259	0.3010244639
260	0.3008454299
261	0.3006160978
262	0.3004598028
263	0.3003244086
264	0.3001511909
265	0.2999785873
266	0.2998419076
267	0.2997520854
268	0.2995800171
269	0.299380197
270	0.2992056959
271	0.299067279
272	0.2988360899
273	0.2986917969
274	0.298492219
275	0.298234741
276	0.2980952429
277	0.2979566221
278	0.2977790678
279	0.2976411409
280	0.29743697
281	0.2973285713
282	0.2971444579
283	0.2969981202
284	0.2968736705
285	0.2966840754
286	0.2965046325
287	0.2964299009
288	0.2962620416
289	0.2960423892
290	0.2958406864
291	0.2957620695
292	0.295618355
293	0.2954053183
294	0.295226657
295	0.2950688775
296	0.2948766849
297	0.2947189843
298	0.2944910266
299	0.2943255394
300	0.294155678
301	0.2940021492
302	0.293823142
303	0.2936896891
304	0.2935586837
305	0.293382776
306	0.2933145906
307	0.2931186337
308	0.2929644794
309	0.2927565892
310	0.2926164274
311	0.2924754598
312	0.2922807381
313	0.2921461373
314	0.291933305
315	0.2917201246
316	0.2914523633
317	0.29136549
318	0.2911411021
319	0.2910032462
320	0.2908146472
321	0.2906957971
322	0.2905268527
323	0.2904270693
324	0.2902813001
325	0.2900738264
326	0.2899113216
327	0.2898140925
328	0.289661072
329	0.2895652397
330	0.2894062433
331	0.2892523015
332	0.2891390453
333	0.2890265385
334	0.2888556289
335	0.2886990471
336	0.2885699202
337	0.2883702805
338	0.2881963654
339	0.2880371165
340	0.2878567871
341	0.2877004646
342	0.2875365872
343	0.2873839189
344	0.287145575
345	0.2869407335
346	0.2868716072
347	0.2866351054
348	0.2864557798
349	0.2863052733
350	0.2861471297
351	0.2859271254
352	0.2858128639
353	0.2857499899
354	0.2855924614
355	0.2854857653
356	0.2853558698
357	0.2852530692
358	0.2851183922
359	0.2849848234
360	0.2848891296
361	0.2847860352
362	0.2846647869
363	0.2844954601
364	0.2843263735
365	0.2841907599
366	0.2840838204
367	0.283930475
368	0.2837851952
369	0.2835857817
370	0.2834412466
371	0.2833123097
372	0.2831881229
373	0.283093899
374	0.2829526326
375	0.2828621475
376	0.2827028683
377	0.2824946931
378	0.2823971551
379	0.2822794004
380	0.2821357788
381	0.2820199077
382	0.2818438835
383	0.2817089334
384	0.2815210757
385	0.2813856088
386	0.2812241504
387	0.2810302658
388	0.2808489957
389	0.2807308324
390	0.2806246273
391	0.2804572917
392	0.2802965836
393	0.2801854781
394	0.280053958
395	0.279987359
396	0.2798675863
397	0.2797684397
398	0.2796149213
399	0.2794345908
400	0.2792998088
401	0.2791899529
402	0.2790427603
403	0.2789147881
404	0.2786920475
405	0.2785571712
406	0.2784105257
407	0.2781472433
408	0.2780531651
409	0.277958194
410	0.2777780135
411	0.2776530298
412	0.2775298702
413	0.277365529
414	0.2772153075
415	0.2771138335
416	0.2769673257
417	0.2768268466
418	0.2767017969
419	0.2765513299
420	0.2764049074
421	0.2762857095
422	0.2761417359
423	0.2760410749
424	0.275932611
425	0.2757547689
426	0.2756500762
427	0.275518237
428	0.2753466646
429	0.2752260164
430	0.2751422044
431	0.2751284111
432	0.2749466206
433	0.2747485366
434	0.2745771063
435	0.2743970899
436	0.2742748419
437	0.2741343173
438	0.2740032366
439	0.2738731267
440	0.273687556
441	0.2735797732
442	0.2734498154
443	0.2733380717
444	0.2732007333
445	0.2730733841
446	0.2729823931
447	0.2729083453
448	0.2728135658
449	0.2727211797
450	0.2725795382
451	0.2724275825
452	0.2723379695
453	0.2722400919
454	0.2721144768
455	0.2720132147
456	0.27183408
457	0.271692562
458	0.2715363223
459	0.2714299873
460	0.2713381668
461	0.2712348504
462	0.2710430987
463	0.2709060725
464	0.2707314301
465	0.270649811
466	0.2705555252
467	0.2704873706
468	0.27040367
469	0.2702452314
470	0.2700512834
471	0.2699274467
472	0.2697308431
473	0.2696783359
474	0.2694835498
475	0.2693049113
476	0.2691726777
477	0.2690098013
478	0.2688250454
479	0.2687024527
480	0.2686148531
481	0.2685040821
482	0.2683818183
483	0.2681983271
484	0.2680574635
485	0.2678922273
486	0.2678322273
487	0.2677898495
488	0.2676481234
489	0.2675257899
490	0.2673960386
491	0.2671913189
492	0.2670387336
493	0.2669375415
494	0.2667584852
495	0.2666736228
496	0.2665082641
497	0.2663859078
498	0.2662427398
499	0.2661192084
500	0.2660474123
501	0.2659086026
502	0.2657937502
503	0.2656767037
504	0.2655763882
505	0.265495293
506	0.2653808835
507	0.265300577
508	0.2652315804
509	0.2651212071
510	0.264953426
511	0.2648451612
512	0.264676921
513	0.264539136
514	0.2644299634
515	0.2643510279
516	0.2642378538
517	0.2641124049
518	0.2639922751
519	0.263843336
520	0.2637494961
521	0.2636378403
522	0.2635349936
523	0.2633826096
524	0.2632317789
525	0.2631340068
526	0.2630545578
527	0.2629815306
528	0.2628477505
529	0.2626630775
