iter	Passed	Remaining
0	228	228206
1	281	140651
2	332	110582
3	384	95702
4	440	87595
5	491	81390
6	551	78294
7	602	74712
8	649	71488
9	698	69148
10	748	67305
11	805	66295
12	869	65979
13	938	66113
14	1014	66608
15	1086	66849
16	1155	66829
17	1225	66871
18	1288	66546
19	1346	65980
20	1401	65342
21	1454	64661
22	1510	64180
23	1569	63845
24	1627	63465
25	1686	63164
26	1741	62770
27	1797	62401
28	1859	62251
29	1919	62061
30	1973	61689
31	2029	61391
32	2087	61183
33	2142	60866
34	2200	60671
35	2254	60375
36	2306	60024
37	2366	59898
38	2422	59697
39	2479	59505
40	2536	59336
41	2583	58923
42	2642	58821
43	2699	58662
44	2760	58594
45	2814	58364
46	2871	58233
47	2927	58053
48	2982	57875
49	3031	57592
50	3089	57492
51	3143	57312
52	3198	57156
53	3254	57012
54	3305	56802
55	3359	56626
56	3415	56497
57	3474	56438
58	3529	56290
59	3581	56112
60	3634	55946
61	3688	55801
62	3739	55616
63	3785	55360
64	3843	55287
65	3900	55191
66	3950	55009
67	4004	54885
68	4061	54795
69	4113	54654
70	4167	54528
71	4216	54340
72	4274	54275
73	4326	54143
74	4379	54016
75	4430	53869
76	4482	53734
77	4537	53632
78	4593	53552
79	4641	53379
80	4696	53283
81	4750	53178
82	4806	53101
83	4858	52982
84	4913	52895
85	4966	52783
86	5017	52660
87	5074	52592
88	5122	52437
89	5171	52290
90	5231	52256
91	5283	52141
92	5339	52072
93	5391	51966
94	5449	51909
95	5504	51835
96	5558	51746
97	5614	51674
98	5668	51585
99	5720	51482
100	5773	51385
101	5828	51310
102	5880	51211
103	5931	51101
104	5984	51008
105	6036	50908
106	6091	50840
107	6146	50762
108	6200	50685
109	6256	50617
110	6313	50562
111	6375	50549
112	6430	50478
113	6493	50464
114	6549	50400
115	6604	50333
116	6657	50247
117	6711	50168
118	6765	50087
119	6822	50031
120	6881	49990
121	6930	49878
122	6979	49767
123	7033	49685
124	7087	49612
125	7140	49528
126	7193	49450
127	7241	49333
128	7296	49263
129	7352	49204
130	7406	49134
131	7458	49046
132	7519	49017
133	7571	48934
134	7625	48861
135	7683	48810
136	7735	48728
137	7794	48686
138	7850	48628
139	7906	48570
140	7956	48473
141	8004	48363
142	8056	48282
143	8114	48236
144	8171	48180
145	8224	48109
146	8272	48000
147	8325	47926
148	8381	47867
149	8436	47804
150	8494	47757
151	8546	47680
152	8595	47586
153	8647	47507
154	8697	47414
155	8752	47355
156	8803	47271
157	8858	47209
158	8910	47132
159	8963	47057
160	9017	46994
161	9073	46937
162	9129	46879
163	9181	46805
164	9235	46738
165	9286	46656
166	9341	46596
167	9396	46534
168	9458	46507
169	9523	46495
170	9577	46431
171	9629	46356
172	9677	46259
173	9730	46192
174	9785	46130
175	9838	46060
176	9890	45988
177	9944	45925
178	10002	45875
179	10048	45776
180	10101	45707
181	10157	45653
182	10212	45593
183	10268	45536
184	10322	45476
185	10383	45443
186	10437	45379
187	10498	45342
188	10552	45279
189	10602	45200
190	10652	45119
191	10698	45021
192	10752	44960
193	10809	44911
194	10862	44841
195	10918	44789
196	10972	44727
197	11028	44670
198	11079	44597
199	11137	44549
200	11187	44472
201	11241	44408
202	11294	44343
203	11349	44287
204	11406	44236
205	11465	44192
206	11517	44123
207	11568	44048
208	11623	43989
209	11675	43923
210	11721	43829
211	11771	43753
212	11820	43674
213	11872	43605
214	11928	43553
215	11980	43483
216	12034	43425
217	12086	43357
218	12140	43294
219	12196	43242
220	12249	43177
221	12299	43102
222	12353	43041
223	12410	42994
224	12466	42939
225	12514	42859
226	12569	42801
227	12624	42746
228	12678	42687
229	12738	42646
230	12796	42599
231	12855	42555
232	12904	42481
233	12961	42430
234	13015	42369
235	13066	42301
236	13115	42223
237	13171	42171
238	13224	42107
239	13273	42031
240	13321	41954
241	13374	41891
242	13429	41835
243	13481	41769
244	13536	41715
245	13583	41635
