iter	Logloss
0	0.6893619415
1	0.6851463439
2	0.6814500724
3	0.6781749484
4	0.6749389006
5	0.6716504164
6	0.6689116331
7	0.6663977728
8	0.6645576605
9	0.6621774899
10	0.6602926162
11	0.6582842739
12	0.6564185674
13	0.6544912475
14	0.6527199485
15	0.651071642
16	0.6496472381
17	0.6482388334
18	0.6466473217
19	0.6451064321
20	0.6432456753
21	0.6415640759
22	0.6404552961
23	0.6391768791
24	0.6376994485
25	0.6363308343
26	0.6351538842
27	0.6341419719
28	0.6329349653
29	0.6316565384
30	0.6305763003
31	0.6295612463
32	0.6282872395
33	0.6275163256
34	0.6267790729
35	0.6257860347
36	0.6248407155
37	0.6238018664
38	0.6228905215
39	0.6220822613
40	0.62110914
41	0.6203561046
42	0.6196001311
43	0.6187981935
44	0.6180352222
45	0.6173652459
46	0.6166108429
47	0.6157543601
48	0.6148494239
49	0.6142142915
50	0.6134975913
51	0.6128867061
52	0.6119270605
53	0.6113461493
54	0.6104733967
55	0.6096958907
56	0.609159798
57	0.6085082098
58	0.6079087281
59	0.6071755987
60	0.6066256365
61	0.6059987776
62	0.6054614089
63	0.6049072011
64	0.6044708759
65	0.6039798621
66	0.6033729185
67	0.6027357234
68	0.6022147903
69	0.6016664384
70	0.6010736352
71	0.600662802
72	0.5999885731
73	0.5995169325
74	0.5988922594
75	0.5982928911
76	0.5976864272
77	0.5972696983
78	0.5969454461
79	0.5963661533
80	0.5959446045
81	0.5950154207
82	0.5944561296
83	0.5940332326
84	0.5935160286
85	0.5929305149
86	0.5925813913
87	0.5920034423
88	0.5913889
89	0.590951384
90	0.5906221085
91	0.5901718104
92	0.5896673642
93	0.589223151
94	0.5887182798
95	0.5882161399
96	0.5878177912
97	0.5873102546
98	0.5868493411
99	0.5863055329
100	0.5859730377
101	0.5855888868
102	0.5852805414
103	0.5849744088
104	0.5845556117
105	0.5841126831
106	0.5835188744
107	0.5830961689
108	0.5826579293
109	0.5822290277
110	0.5818575109
111	0.5816345251
112	0.5812123646
113	0.5808327444
114	0.5806140757
115	0.5800482487
116	0.5797661625
117	0.5793547949
118	0.5789465861
119	0.5785930483
120	0.5780745148
121	0.5777427532
122	0.5772481978
123	0.576845761
124	0.5765301606
125	0.5762571484
126	0.5759884246
127	0.5754653832
128	0.5751486645
129	0.5747557135
130	0.5744430978
131	0.5738892339
132	0.5734520001
133	0.5732030732
134	0.5729674106
135	0.5724307593
136	0.5720041503
137	0.5716954332
138	0.5713757388
139	0.570992349
140	0.5706651048
141	0.5702685172
142	0.5700818232
143	0.5695856385
144	0.5692277753
145	0.5689283304
146	0.5684279699
147	0.5681793616
148	0.5678131881
149	0.5674110565
150	0.5671208424
151	0.5668838199
152	0.5666764058
153	0.566205161
154	0.5659763139
155	0.5656029599
156	0.5652427718
157	0.5650219124
158	0.5646255719
159	0.5641582118
160	0.5638329864
161	0.5635593442
162	0.5633921741
163	0.5629900659
164	0.562658773
165	0.5625309016
166	0.562297087
167	0.5621227654
168	0.5617259073
169	0.5614182629
170	0.5610520295
171	0.5606985518
172	0.5602725757
173	0.559820572
174	0.5594415678
175	0.5590679228
176	0.5586796485
177	0.5584941349
178	0.5581024063
179	0.5578600511
180	0.5575372091
181	0.5571728523
182	0.5569326997
183	0.5567474745
184	0.5564891673
185	0.5562272782
186	0.5560154652
187	0.5556096268
188	0.5551731969
189	0.5550110198
190	0.5546247556
191	0.5544731041
192	0.5541697006
193	0.5540104171
194	0.5538237972
195	0.5534569732
196	0.5531194034
197	0.5527426312
198	0.5525019962
199	0.5520337807
200	0.5518351042
201	0.5516224643
202	0.5512938211
203	0.5509318751
204	0.5507205774
205	0.5505185582
206	0.550351754
207	0.5500625536
208	0.5498421834
209	0.5495135968
210	0.5491945528
211	0.548790548
212	0.5485582382
213	0.5484039936
214	0.5481736486
215	0.5479905676
216	0.5478600621
217	0.5474679222
218	0.5472667111
219	0.5470415585
220	0.546720996
221	0.5463514943
222	0.5460716564
223	0.5458931002
224	0.5455910367
225	0.5454371509
226	0.5449704803
227	0.5447250453
228	0.544470749
229	0.5441502894
230	0.5439521392
231	0.5436411524
232	0.5433315681
233	0.5430899677
234	0.5427897494
235	0.5425427837
236	0.5421170822
237	0.541676185
238	0.5413177513
239	0.5409627518
240	0.5407335507
241	0.5405280202
242	0.5402239585
243	0.539873695
244	0.5394683361
245	0.5392015173
246	0.5388098545
247	0.538441466
248	0.5380080773
249	0.5378300146
250	0.5375810119
251	0.5371800196
252	0.5370426136
253	0.5366728158
254	0.5363461933
255	0.5359848452
256	0.5357355464
257	0.5353973578
258	0.5350515994
259	0.5347953066
260	0.5344127249
261	0.5339815648
262	0.5336938617
263	0.5334137573
264	0.5331355136
265	0.5327151877
266	0.5323620431
267	0.5320413599
268	0.5316733533
269	0.5314284487
270	0.5311587072
271	0.530900519
272	0.5306605714
273	0.530500878
274	0.530201676
275	0.5299432819
276	0.5297188778
277	0.5294605109
278	0.5291455569
279	0.5288649809
280	0.5286717572
281	0.5284309953
282	0.5280676983
283	0.5277115488
284	0.5273444941
285	0.5270462142
286	0.5267669855
287	0.5265179364
288	0.5262487463
289	0.5259651636
290	0.5255908193
291	0.5253568389
292	0.525033605
293	0.5248351859
294	0.5246437695
295	0.5244515724
296	0.5241010908
297	0.5236886149
298	0.5233452153
299	0.5229647411
300	0.5227714211
301	0.5225060862
302	0.522305354
303	0.5220966643
304	0.5217786458
305	0.5216255787
306	0.5214764762
307	0.5212067049
308	0.5208496602
309	0.5204798957
