iter	Passed	Remaining
0	184	184349
1	216	107875
2	243	80966
3	271	67594
4	298	59494
5	325	53992
6	351	49868
7	378	46993
8	406	44812
9	437	43285
10	468	42082
11	535	44123
12	584	44361
13	659	46416
14	705	46325
15	735	45250
16	764	44178
17	793	43280
18	822	42453
19	848	41590
20	881	41091
21	910	40460
22	935	39757
23	962	39134
24	989	38581
25	1018	38153
26	1045	37687
27	1075	37350
28	1102	36905
29	1134	36691
30	1164	36398
31	1193	36095
32	1222	35823
33	1255	35678
34	1284	35406
35	1314	35210
36	1345	35012
37	1373	34777
38	1403	34587
39	1437	34496
40	1468	34340
41	1503	34283
42	1535	34172
43	1569	34095
44	1603	34032
45	1633	33869
46	1663	33735
47	1695	33619
48	1723	33455
49	1751	33270
50	1781	33156
51	1814	33076
52	1844	32954
53	1876	32866
54	1908	32789
55	1939	32695
56	1977	32718
57	2013	32697
58	2046	32641
59	2091	32763
60	2318	35692
61	2379	36006
62	2436	36242
63	2540	37152
64	2628	37810
65	2692	38096
66	2746	38249
67	2797	38340
68	2844	38378
69	2885	38338
70	2923	38258
71	2955	38093
72	2986	37926
73	3013	37710
74	3045	37558
75	3076	37398
76	3106	37235
77	3135	37060
78	3161	36854
79	3188	36670
80	3213	36459
81	3242	36296
82	3272	36153
83	3304	36037
84	3332	35872
85	3362	35735
86	3388	35562
87	3419	35436
88	3450	35319
89	3480	35195
90	3507	35033
91	3535	34893
92	3562	34743
93	3588	34591
94	3615	34438
95	3642	34302
96	3667	34142
97	3695	34012
98	3721	33872
99	3750	33750
100	3774	33599
101	3802	33476
102	3834	33392
103	3862	33275
104	3888	33146
105	3915	33027
106	3946	32933
107	3975	32837
108	4001	32712
109	4028	32591
110	4054	32472
111	4079	32345
112	4108	32253
113	4136	32144
114	4163	32038
115	4190	31931
116	4216	31825
117	4241	31703
118	4268	31600
119	4295	31501
120	4318	31373
121	4344	31267
122	4370	31163
123	4393	31034
124	4420	30940
125	4448	30859
126	4473	30750
127	4497	30641
128	4524	30550
129	4571	30594
130	4604	30543
131	4640	30512
132	4671	30452
133	4703	30400
134	4742	30383
135	4780	30369
136	4822	30380
137	4860	30361
138	4898	30344
139	4939	30345
140	5005	30491
141	5213	31502
142	5290	31708
143	5340	31745
144	5375	31697
145	5417	31686
146	5457	31670
147	5496	31641
148	5533	31606
149	5564	31533
150	5588	31420
151	5610	31299
152	5636	31201
153	5661	31101
154	5688	31013
155	5711	30901
156	5740	30825
157	5765	30724
158	5795	30655
159	5823	30571
160	5848	30478
161	5875	30392
162	5899	30292
163	5927	30215
164	5954	30132
165	5979	30041
166	6009	29975
167	6040	29913
168	6067	29835
169	6091	29741
170	6119	29666
171	6146	29590
172	6174	29516
173	6203	29448
174	6232	29382
175	6260	29308
176	6288	29238
177	6314	29160
178	6341	29084
179	6365	29000
180	6391	28918
181	6424	28875
182	6447	28784
183	6471	28697
184	6498	28628
185	6536	28604
186	6567	28554
187	6601	28513
188	6642	28501
189	6854	29223
190	6975	29543
191	7013	29513
192	7056	29504
193	7107	29528
194	7146	29503
195	7177	29443
196	7213	29401
197	7247	29357
198	7290	29346
199	7326	29304
200	7365	29278
201	7410	29277
202	7435	29191
203	7462	29117
204	7487	29038
205	7513	28960
206	7540	28886
207	7567	28813
208	7597	28756
209	7628	28698
210	7655	28627
211	7681	28552
212	7709	28483
213	7736	28415
214	7764	28350
215	7794	28289
216	7818	28211
217	7843	28134
218	7868	28059
219	7894	27988
220	7923	27928
221	7946	27848
222	7971	27774
223	7994	27696
224	8028	27654
225	8063	27614
226	8097	27575
227	8134	27542
228	8174	27522
229	8208	27480
230	8242	27439
231	8282	27417
232	8318	27381
233	8356	27353
234	8392	27319
235	8434	27306
236	8470	27271
237	8510	27248
238	8549	27223
239	8600	27234
240	8631	27183
241	8658	27121
242	8684	27054
243	8712	26994
244	8735	26921
245	8768	26874
246	8797	26818
247	8825	26760
248	8866	26741
249	8909	26729
250	8943	26688
251	8983	26664
252	9019	26631
253	9054	26594
254	9087	26549
255	9123	26516
256	9158	26479
257	9197	26451
258	9228	26403
259	9271	26387
260	9440	26729
261	9565	26944
262	9602	26909
263	9635	26862
264	9673	26830
265	9710	26795
266	9749	26766
267	9792	26745
268	9828	26708
269	9858	26654
270	9885	26593
271	9912	26530
272	9941	26473
273	9969	26414
274	9991	26341
275	10017	26277
276	10042	26210
277	10077	26172
278	10112	26133
279	10142	26081
280	10169	26021
281	10199	25968
282	10224	25903
283	10252	25848
284	10277	25784
285	10302	25720
286	10333	25670
287	10358	25609
288	10390	25562
289	10421	25514
290	10448	25456
291	10477	25405
292	10512	25365
293	10537	25304
294	10565	25248
295	10594	25198
296	10620	25138
297	10649	25086
298	10677	25032
299	10708	24985
300	10735	24929
301	10763	24877
302	10791	24824
303	10820	24772
304	10846	24715
305	10872	24659
306	10898	24600
307	10923	24541
308	10948	24482
309	10975	24429
310	11001	24373
311	11036	24336
312	11069	24295
313	11098	24246
314	11126	24196
315	11162	24161
316	11191	24113
317	11221	24066
318	11279	24079
319	11340	24099
320	11379	24071
321	11416	24038
322	11456	24013
323	11502	23998
324	11539	23965
325	11562	23905
326	11591	23857
327	11617	23800
328	11644	23748
329	11669	23693
330	11695	23638
331	11723	23588
332	11752	23540
333	11781	23491
334	11811	23446
335	11836	23390
336	11867	23347
337	11901	23309
338	11931	23264
339	11959	23215
340	11989	23169
341	12015	23117
342	12045	23072
343	12074	23025
344	12097	22967
345	12127	22923
346	12156	22876
347	12186	22831
348	12212	22780
349	12241	22734
350	12270	22687
351	12305	22653
352	12340	22618
353	12370	22574
354	12404	22538
355	12452	22525
356	12678	22835
357	12802	22959
358	12834	22915
359	12886	22909
360	12926	22880
361	12960	22841
362	12994	22802
363	13026	22760
364	13060	22722
365	13101	22694
366	13132	22651
367	13171	22621
368	13202	22576
369	13229	22526
370	13255	22473
371	13287	22431
372	13314	22380
373	13341	22330
374	13367	22278
375	13393	22227
376	13418	22174
377	13446	22126
378	13468	22068
379	13494	22017
380	13522	21970
381	13550	21921
382	13578	21873
383	13605	21825
384	13632	21777
385	13658	21726
386	13681	21671
387	13710	21626
388	13746	21591
389	13781	21555
390	13815	21518
391	13860	21498
392	14062	21719
393	14152	21767
394	14190	21734
395	14220	21689
396	14249	21644
397	14287	21610
398	14323	21574
399	14360	21540
400	14394	21502
401	14428	21463
402	14467	21432
403	14503	21396
404	14541	21362
405	14574	21323
406	14624	21307
407	14656	21266
408	14686	21222
409	14711	21169
410	14739	21122
411	14765	21072
412	14792	21024
413	14816	20971
414	14840	20920
415	14867	20872
416	14894	20823
417	14926	20783
418	14954	20736
419	14985	20694
420	15016	20651
421	15046	20609
422	15076	20564
423	15108	20525
424	15138	20481
425	15170	20441
426	15200	20398
427	15227	20351
428	15259	20310
429	15284	20261
430	15312	20215
431	15340	20169
432	15368	20124
433	15393	20075
434	15423	20032
435	15449	19985
436	15474	19936
437	15502	19891
438	15530	19846
439	15558	19801
440	15584	19754
441	15614	19712
442	15640	19665
443	15662	19613
444	15689	19567
445	15714	19520
446	15743	19476
447	15771	19432
448	15798	19386
449	15821	19337
450	15850	19295
451	15878	19251
452	15903	19204
453	15931	19159
454	15971	19130
455	16000	19088
456	16030	19047
457	16069	19016
458	16099	18975
459	16132	18938
460	16176	18913
461	16209	18875
462	16248	18846
463	16283	18809
464	16317	18773
465	16359	18746
466	16575	18918
467	16663	18942
468	16707	18915
469	16740	18877
470	16774	18839
471	16811	18805
472	16850	18773
473	16886	18739
474	16924	18706
475	16955	18665
476	16981	18619
477	17003	18568
478	17030	18524
479	17056	18477
480	17084	18434
481	17109	18387
482	17136	18342
483	17161	18295
484	17188	18251
485	17217	18209
486	17242	18163
487	17270	18119
488	17296	18074
489	17321	18028
490	17349	17985
491	17375	17940
492	17399	17893
493	17426	17849
494	17451	17804
495	17478	17760
496	17502	17713
497	17528	17669
498	17552	17623
499	17583	17583
500	17615	17545
501	17647	17506
502	17674	17464
503	17700	17419
504	17729	17378
505	17758	17337
506	17786	17294
507	17816	17255
508	17850	17219
509	17876	17175
510	17904	17133
511	17929	17089
512	17957	17047
513	17983	17003
514	18006	16957
515	18035	16916
516	18062	16874
517	18085	16828
518	18114	16787
519	18140	16745
520	18167	16702
521	18200	16666
522	18222	16620
523	18249	16577
524	18275	16534
525	18301	16492
526	18326	16448
527	18352	16405
528	18380	16364
529	18403	16319
530	18427	16275
531	18452	16232
532	18477	16189
533	18505	16149
534	18532	16107
535	18560	16067
536	18585	16024
537	18612	15982
538	18643	15945
539	18671	15904
540	18697	15863
541	18725	15823
542	18752	15782
543	18779	15741
544	18806	15701
545	18833	15659
546	18859	15618
547	18885	15576
548	18909	15534
549	18951	15505
550	18985	15470
551	19018	15435
552	19056	15404
553	19086	15366
554	19124	15333
555	19156	15297
556	19199	15270
557	19240	15240
558	19271	15203
559	19307	15170
560	19354	15145
561	19591	15269
562	19683	15278
563	19725	15248
564	19761	15214
565	19808	15188
566	19844	15154
567	19879	15119
568	19919	15088
569	19949	15049
570	19978	15010
571	20005	14968
572	20032	14928
573	20061	14888
574	20087	14847
575	20112	14805
576	20137	14763
577	20165	14722
578	20189	14680
579	20220	14642
580	20252	14605
581	20282	14567
582	20317	14532
