iter	Passed	Remaining
0	70	70361
1	141	70840
2	205	68287
3	286	71367
4	369	73561
5	452	75036
6	519	73750
7	587	72829
8	652	71846
9	716	70943
10	804	72344
11	891	73370
12	967	73439
13	1037	73054
14	1102	72408
15	1170	72001
16	1237	71537
17	1311	71571
18	1383	71432
19	1453	71231
20	1521	70918
21	1586	70519
22	1656	70349
23	1730	70357
24	1815	70810
25	1892	70881
26	1959	70597
27	2027	70400
28	2120	71005
29	2217	71699
30	2327	72738
31	2407	72814
32	2480	72673
33	2564	72854
34	2643	72898
35	2734	73224
36	2821	73443
37	2901	73455
38	2968	73140
39	3043	73043
40	3113	72821
41	3180	72543
42	3273	72852
43	3358	72964
44	3440	73021
45	3536	73348
46	3618	73371
47	3705	73494
48	3786	73484
49	3867	73473
50	4291	79864
51	4651	84802
52	4772	85272
53	4852	85008
54	4967	85358
55	5097	85927
56	5178	85671
57	5261	85449
58	5344	85238
59	5438	85195
60	5514	84894
61	5584	84491
62	5664	84247
63	5756	84189
64	5857	84264
65	5940	84060
66	6061	84404
67	6157	84392
68	6244	84258
69	6593	87594
70	6739	88182
71	6853	88334
72	6963	88432
73	7043	88143
74	7120	87814
75	7196	87493
76	7286	87345
77	7364	87049
78	7485	87268
79	7556	86898
80	7623	86491
81	7689	86085
82	7757	85700
83	7820	85283
84	7886	84896
85	7961	84609
86	8025	84224
87	8093	83873
88	8164	83566
89	8232	83238
90	8309	83002
91	8399	82899
92	8565	83536
93	8693	83792
94	8775	83602
95	8865	83484
96	8976	83563
97	9080	83576
98	9164	83405
99	9242	83181
100	9317	82934
101	9439	83106
102	9559	83247
103	9665	83268
104	9807	83600
105	9961	84012
106	10059	83953
107	10148	83815
108	10250	83790
109	10321	83512
110	10387	83197
111	10476	83067
112	10543	82762
113	10611	82468
114	10677	82171
115	10739	81840
116	10802	81527
117	10879	81319
118	10966	81188
119	11052	81054
120	11131	80865
121	11198	80593
122	11268	80343
123	11369	80320
124	11451	80162
125	11536	80025
126	11630	79947
127	11727	79890
128	11818	79795
129	11923	79797
130	12026	79779
131	12260	80622
132	12388	80761
133	12523	80937
134	12627	80908
135	12713	80770
136	12807	80679
137	12879	80448
138	12948	80203
139	13013	79941
140	13082	79701
141	13147	79442
142	13233	79305
143	13310	79121
144	13373	78858
145	13438	78608
146	13504	78361
147	13568	78110
148	13643	77922
149	13707	77676
150	13781	77486
151	13846	77247
152	13918	77053
153	13982	76813
154	14054	76621
155	14115	76369
156	14191	76198
157	14268	76036
158	14334	75822
159	14400	75603
160	14472	75420
161	14540	75216
162	14607	75010
163	14677	74818
164	14743	74613
165	14806	74388
166	14869	74167
167	14935	73965
168	15000	73760
169	15075	73603
170	15138	73391
171	15212	73231
172	15286	73075
173	15366	72947
174	15450	72838
175	15523	72678
176	15616	72612
177	15694	72477
178	15769	72326
179	15836	72141
180	15904	71966
181	15972	71789
182	16035	71589
183	16111	71449
184	16181	71285
185	16251	71121
186	16316	70939
187	16397	70823
188	16470	70675
189	16537	70503
190	16618	70391
191	16683	70211
192	16751	70043
193	16827	69912
194	16888	69719
195	16955	69550
196	17022	69384
197	17091	69228
198	17156	69058
199	17227	68909
200	17295	68751
201	17383	68672
202	17464	68567
203	17531	68408
204	17604	68269
205	17671	68111
206	17743	67974
207	17820	67853
208	17885	67689
209	17952	67535
210	18020	67384
211	18084	67218
212	18156	67083
213	18228	66949
214	18297	66806
215	18375	66697
216	18456	66596
217	18518	66428
218	18599	66329
219	18667	66183
220	18738	66050
221	18804	65899
222	18878	65777
223	18945	65632
224	19012	65486
225	19083	65357
226	19148	65204
227	19214	65058
228	19284	64926
229	19349	64780
230	19413	64629
231	19477	64476
232	19548	64351
233	19613	64206
234	19676	64054
235	19744	63920
236	19811	63781
237	19877	63639
238	19940	63492
239	20005	63349
240	20076	63229
241	20143	63095
242	20211	62964
243	20286	62856
244	20349	62708
245	20413	62567
246	20478	62430
247	20550	62315
248	20611	62166
249	20680	62040
250	20750	61920
251	20818	61794
252	20889	61677
253	20965	61576
254	21029	61439
255	21102	61330
256	21167	61195
257	21239	61083
258	21312	60976
259	21381	60856
260	21448	60728
261	21514	60603
262	21581	60478
263	21654	60369
264	21722	60248
265	21806	60172
266	21889	60092
267	21956	59969
268	22019	59836
269	22089	59724
270	22157	59604
271	22223	59480
272	22306	59402
273	22368	59269
274	22450	59188
275	22519	59072
276	22585	58949
277	22665	58864
278	22730	58741
279	22799	58627
280	22863	58500
281	22924	58368
282	22985	58235
283	23057	58131
284	23128	58024
285	23194	57905
286	23269	57808
287	23349	57723
288	23412	57598
289	23481	57488
290	23544	57364
291	23617	57263
292	23677	57133
293	23742	57014
294	23813	56911
295	23875	56786
296	23941	56670
297	24005	56549
298	24073	56439
299	24142	56333
300	24211	56226
301	24294	56151
302	24371	56062
303	24435	55945
304	24498	55825
305	24574	55734
306	24640	55621
307	24706	55508
308	24788	55432
309	24852	55317
310	24920	55209
311	25001	55130
312	25071	55029
313	25136	54916
314	25208	54819
315	25277	54713
316	25365	54650
317	25430	54539
318	25501	54440
319	25567	54330
320	25633	54220
321	25697	54108
322	25762	53998
323	25842	53919
324	25910	53814
325	25974	53701
326	26053	53620
327	26117	53509
328	26181	53397
329	26253	53303
330	26327	53211
331	26394	53108
332	26464	53007
333	26530	52901
334	26594	52791
335	26660	52686
336	26723	52575
337	26791	52472
338	26857	52367
339	26921	52259
340	26989	52157
341	27054	52051
342	27117	51942
343	27185	51843
344	27250	51736
345	27323	51646
346	27394	51551
347	27460	51448
348	27526	51346
349	27603	51263
350	27667	51157
351	27730	51049
352	27804	50962
353	27875	50868
354	27940	50765
355	28014	50677
356	28093	50599
357	28160	50499
358	28223	50393
359	28294	50302
360	28365	50209
361	28435	50115
362	28510	50031
363	28582	49941
364	28646	49836
365	28710	49734
366	28776	49634
367	28849	49545
368	28913	49442
369	28979	49343
370	29057	49264
371	29117	49156
372	29186	49060
373	29255	48967
374	29338	48897
375	29408	48806
376	29470	48701
377	29534	48598
378	29601	48503
379	29665	48402
380	29730	48302
381	29793	48199
382	29859	48103
383	29934	48020
384	30002	47926
385	30077	47843
386	30142	47744
387	30214	47657
388	30287	47572
389	30349	47470
390	30424	47388
391	30490	47290
392	30554	47192
393	30623	47101
394	30692	47009
395	30759	46915
396	30823	46816
397	30902	46741
398	30968	46647
399	31061	46592
400	31136	46510
401	31201	46414
402	31266	46317
403	31345	46242
404	31419	46158
405	31482	46060
406	31550	45969
407	31621	45882
408	31685	45785
409	31757	45699
410	31821	45602
411	31895	45520
412	31963	45429
413	32037	45347
414	32104	45256
415	32177	45172
416	32242	45077
417	32313	44991
418	32383	44904
419	32446	44806
420	32514	44717
421	32585	44631
422	32643	44528
423	32710	44437
424	32776	44344
425	32865	44283
426	32952	44219
427	33037	44152
428	33128	44094
429	33270	44102
430	33384	44074
431	33452	43983
432	33517	43890
433	33583	43798
434	33678	43743
435	33760	43672
436	33834	43590
437	33932	43538
438	34003	43452
439	34074	43367
440	34148	43285
441	34216	43196
442	34279	43100
443	34365	43033
444	34435	42947
445	34501	42855
446	34567	42765
447	34640	42682
448	34701	42584
449	34765	42491
450	34832	42400
451	34896	42307
452	34962	42217
453	35031	42130
454	35098	42040
455	35166	41952
456	35229	41859
