iter	Passed	Remaining
0	225	224970
1	298	149091
2	368	122584
3	451	112542
4	540	107565
5	610	101147
6	702	99672
7	792	98301
8	885	97450
9	966	95636
10	1052	94672
11	1130	93112
12	1206	91599
13	1282	90323
14	1361	89430
15	1440	88560
16	1524	88152
17	1605	87579
18	1677	86633
19	1749	85707
20	1823	84998
21	1904	84659
22	1981	84175
23	2053	83507
24	2139	83438
25	2211	82841
26	2280	82191
27	2358	81872
28	2439	81694
29	2521	81520
30	2604	81406
31	2930	88661
32	3150	92333
33	3400	96619
34	3679	101442
35	3874	103739
36	3969	103326
37	4155	105208
38	4272	105275
39	4390	105380
40	4498	105227
41	4594	104807
42	4678	104122
43	4767	103585
44	4863	103213
45	4955	102770
46	5039	102176
47	5124	101645
48	5212	101171
49	5298	100678
50	5384	100201
51	5478	99884
52	5565	99445
53	5650	98989
54	5737	98575
55	5824	98187
56	5910	97780
57	6008	97584
58	6104	97355
59	6184	96894
60	6273	96566
61	6352	96110
62	6438	95766
63	6526	95446
64	6615	95159
65	6697	94785
66	6788	94525
67	6870	94160
68	6950	93784
69	7036	93481
70	7118	93136
71	7202	92829
72	7286	92527
73	7379	92339
74	7457	91972
75	7531	91571
76	7641	91594
77	7736	91449
78	7823	91203
79	7908	90944
80	7987	90621
81	8078	90442
82	8172	90294
83	8269	90180
84	8430	90751
85	8538	90749
86	8737	91689
87	8918	92424
88	9022	92352
89	9113	92143
90	9212	92023
91	9302	91806
92	9446	92128
93	9543	91980
94	9648	91914
95	9767	91977
96	9882	92002
97	9988	91932
98	10115	92061
99	10231	92080
100	10336	92006
101	10449	91996
102	10561	91979
103	10676	91984
104	10777	91865
105	10865	91638
106	10960	91473
107	11056	91318
108	11136	91034
109	11241	90953
110	11331	90752
111	11420	90552
112	11511	90357
113	11597	90132
114	11684	89918
115	11765	89661
116	11856	89478
117	11943	89274
118	12026	89035
119	12115	88844
120	12211	88709
121	12306	88564
122	12384	88305
123	12486	88212
124	12566	87965
125	12672	87900
126	12758	87701
127	12863	87632
128	12943	87392
