iter	Logloss
0	0.6893426552
1	0.6861017581
2	0.6832598494
3	0.6804295128
4	0.6778054821
5	0.6750229263
6	0.6724967784
7	0.6700811979
8	0.6680193961
9	0.6660268312
10	0.6641846264
11	0.6625504871
12	0.6607388636
13	0.6588318148
14	0.6571140106
15	0.6555634382
16	0.6540148659
17	0.6526769966
18	0.651300587
19	0.6501099855
20	0.6486011114
21	0.647362205
22	0.6462274669
23	0.6452513915
24	0.644063783
25	0.6429634396
26	0.6417120968
27	0.6405832873
28	0.6397700366
29	0.6389604369
30	0.637649681
31	0.6367286572
32	0.6358114164
33	0.6348895535
34	0.6340243861
35	0.6332879286
36	0.6325005767
37	0.6316279097
38	0.6308765176
39	0.629995095
40	0.6291732608
41	0.6284836059
42	0.6276950821
43	0.6269654435
44	0.6262584594
45	0.6256145179
46	0.6250020931
47	0.6242133949
48	0.623537855
49	0.6227935304
50	0.6221870296
51	0.6216204203
52	0.6209966566
53	0.6201867064
54	0.6196349276
55	0.6190861634
56	0.6185606866
57	0.6179158722
58	0.6174023254
59	0.6168818896
60	0.6162743181
61	0.6157838917
62	0.6153184212
63	0.6147031005
64	0.6141241292
65	0.6136195462
66	0.6131045789
67	0.6125997148
68	0.6121301682
69	0.6116076493
70	0.6112591834
71	0.6107133428
72	0.6101490225
73	0.6097185989
74	0.6092411964
75	0.608810269
76	0.6082335144
77	0.6076735886
78	0.6071741202
79	0.6068881835
80	0.6065158567
81	0.6061494237
82	0.605338803
83	0.6048771711
84	0.604410349
85	0.6040599175
86	0.603372668
87	0.6029538395
88	0.6025383719
89	0.6020574329
90	0.6015760431
91	0.6012489866
92	0.6007132993
93	0.600147969
94	0.5996214751
95	0.5993464505
96	0.5989590129
97	0.5983926319
98	0.5978982947
99	0.5975947485
100	0.5969050682
101	0.5964368211
102	0.5960307072
103	0.5957511828
104	0.5953099661
105	0.5948447307
106	0.5945302183
107	0.594230294
108	0.5938839636
109	0.5935423383
110	0.5932591389
111	0.592786852
112	0.5925268117
113	0.5920052482
114	0.5915863827
115	0.5913215128
116	0.5909083564
117	0.5905828411
118	0.5902503662
119	0.5900350634
120	0.5896902802
121	0.5893813012
122	0.5890529678
123	0.5886094991
124	0.5882035576
125	0.5879472576
126	0.5877131108
127	0.5873887252
128	0.5871152675
129	0.5867915596
130	0.5863989029
131	0.5861556269
132	0.5856325784
133	0.5851840145
134	0.5848343545
135	0.5846151551
136	0.5843068482
137	0.5840162942
138	0.583700518
139	0.5832374771
140	0.5829736115
141	0.5827340504
142	0.5822886543
143	0.5819779857
144	0.5814861084
145	0.5812168605
146	0.5808464376
147	0.5805884482
148	0.5802293805
149	0.5799961701
150	0.5797589156
151	0.5794110082
152	0.5790065374
153	0.578586026
154	0.5781902908
155	0.5779521961
156	0.5774995967
157	0.577191612
158	0.576780808
159	0.5764054898
160	0.5762135375
161	0.5759563651
162	0.5756766235
163	0.5753317728
164	0.5751055355
165	0.5747393211
166	0.5745646894
167	0.5742385277
168	0.5739437604
169	0.5737193881
170	0.573242333
171	0.5728874426
172	0.5725085671
173	0.5721810736
174	0.5719827315
175	0.5716631209
176	0.5712711942
177	0.5709946623
178	0.5706227054
179	0.5703273872
180	0.570054753
181	0.5696587568
182	0.5695114119
183	0.5692238432
184	0.5689032237
185	0.5686049423
186	0.5683574699
187	0.5679654885
188	0.5678137786
189	0.5675915818
190	0.5672870313
191	0.566863925
192	0.5666404407
193	0.5663001784
194	0.5658921038
195	0.5656512885
196	0.5653887941
197	0.565158646
198	0.5648426646
199	0.5645379417
200	0.5643554267
201	0.564066186
202	0.5637610721
203	0.563599661
204	0.5633983431
205	0.5630865992
206	0.5627570722
207	0.5623610201
208	0.5620603379
209	0.5618670242
210	0.5616825134
211	0.5612930779
212	0.56106886
213	0.5607481658
214	0.5605286298
215	0.5603099165
216	0.5599251336
217	0.5595446529
218	0.5593182556
219	0.5589919108
220	0.558688549
221	0.558269437
222	0.558029769
223	0.5577651924
224	0.5575846892
225	0.5574149281
226	0.5570987203
227	0.5566940159
228	0.5564513386
229	0.5561338063
230	0.555935844
231	0.5555761591
232	0.5554112397
233	0.5550360577
234	0.5546922668
235	0.5544671652
236	0.5542693745
237	0.5540410643
238	0.5536482536
239	0.5532672357
240	0.552994621
241	0.5526834565
242	0.5524260714
243	0.5521557565
244	0.5518650619
245	0.5515668682
246	0.5513741487
247	0.5509406979
248	0.5507053069
249	0.5503233799
250	0.5500550062
251	0.5498004508
252	0.5494537399
253	0.5491300305
254	0.5488142847
255	0.5485076188
256	0.5481842939
257	0.5477888987
258	0.5475051832
259	0.5471621941
260	0.5468912645
261	0.5466644463
262	0.5465428335
263	0.546225954
264	0.5458903676
265	0.5456247128
266	0.5452329249
267	0.5448245433
268	0.5445130249
269	0.5442679419
270	0.5438869554
271	0.5434748771
272	0.5432756803
273	0.5429223328
274	0.5426330513
275	0.5422474216
276	0.5419768009
277	0.5415547574
278	0.5412943014
279	0.5410052656
280	0.5406280339
281	0.5404097496
282	0.5401438077
283	0.5398233273
284	0.5395208608
285	0.5391539062
286	0.5387807406
287	0.5384703
288	0.5381777638
289	0.5378288618
290	0.5374156901
291	0.5370635065
292	0.5368362213
293	0.5364368207
294	0.5360665359
295	0.5357260408
296	0.5352856399
297	0.5349515369
298	0.5346441794
299	0.5343179876
300	0.5341022287
301	0.5337928596
302	0.5335194982
303	0.5330255542
304	0.5327114152
305	0.5323324612
306	0.5320142127
307	0.5317809567
308	0.5315395553
309	0.5312668191
310	0.5308382761
311	0.5305522247
312	0.5301377971
313	0.5297988428
314	0.5295561626
315	0.5293155727
316	0.5290793775
317	0.5289245089
318	0.5286289466
319	0.5283188479
320	0.5280385996
321	0.5277985631
322	0.5274310377
323	0.5271662833
324	0.526883641
325	0.5266381528
326	0.5263925383
327	0.5261319562
328	0.5257635858
329	0.5253570351
330	0.5250802519
331	0.5247447616
332	0.5244535232
333	0.5241681703
334	0.5238929838
335	0.5235640887
336	0.5234089468
337	0.5231872443
338	0.5229334533
339	0.5227235074
340	0.5224296603
341	0.5222220754
342	0.5218913833
343	0.5217260559
344	0.5214028994
345	0.5210874089
346	0.5208812087
347	0.520779644
348	0.5205510797
349	0.5202604784
350	0.5199784169
351	0.5196807223
352	0.5194662434
353	0.519143414
354	0.5189331535
355	0.5185467638
356	0.5182754189
357	0.5179751863
358	0.5177233625
359	0.5173627422
360	0.5170622465
361	0.5168277902
362	0.5165379857
363	0.5161976333
364	0.5159368437
