iter	Passed	Remaining
0	22	22745
1	45	22569
2	68	22625
3	89	22319
4	112	22444
5	134	22258
6	156	22159
7	177	21956
8	198	21893
9	229	22722
10	254	22885
11	275	22648
12	298	22644
13	319	22510
14	340	22366
15	361	22206
16	382	22120
17	404	22058
18	425	21968
19	447	21932
20	471	21988
21	492	21910
22	516	21923
23	539	21926
24	562	21935
25	584	21890
26	605	21835
27	630	21900
28	655	21938
29	679	21984
30	703	21980
31	728	22045
32	755	22136
33	779	22134
34	801	22090
35	825	22110
36	848	22085
37	872	22098
38	895	22078
39	919	22063
40	942	22046
41	968	22084
42	991	22074
43	1014	22039
44	1037	22023
45	1062	22029
46	1085	22004
47	1107	21958
48	1131	21961
49	1156	21970
50	1180	21967
51	1202	21929
52	1225	21897
53	1248	21878
54	1272	21863
55	1295	21837
56	1316	21786
57	1337	21720
58	1358	21672
59	1380	21631
60	1402	21596
61	1422	21515
62	1444	21486
63	1466	21450
64	1488	21413
65	1510	21382
66	1531	21329
67	1552	21279
68	1572	21223
69	1594	21180
70	1614	21122
71	1634	21071
72	1657	21053
73	1678	21007
74	1701	20980
75	1722	20936
76	1745	20925
77	1766	20881
78	1787	20840
79	1808	20795
80	1827	20735
81	1849	20709
82	1871	20679
83	1893	20643
84	1915	20619
85	1936	20576
86	1957	20540
87	1978	20508
88	2000	20472
89	2024	20471
90	2046	20438
91	2066	20400
92	2087	20363
93	2114	20377
94	2138	20370
95	2156	20307
96	2177	20269
97	2198	20239
98	2219	20200
99	2242	20183
100	2264	20159
101	2288	20143
102	2309	20114
103	2330	20074
104	2353	20056
105	2374	20024
106	2395	19990
107	2416	19955
108	2435	19909
109	2458	19893
110	2479	19858
111	2500	19824
112	2520	19784
113	2542	19757
114	2564	19733
115	2585	19703
116	2606	19672
117	2626	19634
118	2647	19602
119	2669	19576
120	2689	19539
121	2710	19509
122	2734	19499
123	2755	19466
124	2777	19445
125	2798	19412
126	2818	19372
127	2837	19332
128	2857	19297
129	2879	19273
130	2902	19252
131	2922	19215
132	2944	19194
133	2965	19164
134	2987	19142
135	3007	19108
136	3028	19077
137	3049	19049
138	3069	19013
139	3093	19004
140	3118	19000
141	3144	19001
142	3172	19010
143	3197	19004
144	3227	19029
145	3255	19040
146	3282	19046
147	3309	19050
148	3338	19064
149	3369	19093
150	3404	19142
151	3435	19165
152	3467	19193
153	3494	19196
154	3523	19207
155	3552	19219
156	3580	19225
157	3610	19241
158	3639	19252
159	3669	19265
160	3696	19261
161	3724	19267
162	3750	19257
163	3773	19237
164	3798	19224
165	3822	19206
166	3844	19174
167	3867	19152
168	3888	19119
169	3908	19082
170	3930	19054
171	3952	19026
172	3972	18989
173	3993	18959
174	4015	18928
175	4043	18929
176	4064	18900
177	4086	18872
178	4106	18836
179	4127	18801
180	4148	18770
181	4169	18740
182	4188	18700
183	4210	18670
184	4230	18636
185	4253	18614
186	4273	18581
187	4295	18553
188	4315	18518
189	4337	18489
190	4358	18460
191	4379	18429
192	4401	18405
193	4422	18373
194	4449	18366
195	4476	18362
196	4516	18411
197	4546	18416
198	4568	18387
199	4588	18354
200	4609	18324
201	4629	18288
202	4652	18265
203	4672	18231
204	4695	18210
205	4717	18182
206	4737	18149
207	4759	18122
208	4780	18092
209	4799	18055
210	4822	18031
211	4844	18007
212	4863	17971
213	4883	17936
214	4903	17903
215	4923	17872
216	4945	17845
217	4966	17814
218	4987	17786
219	5008	17755
220	5030	17730
221	5051	17704
222	5072	17672
223	5092	17640
224	5111	17606
225	5130	17570
226	5153	17548
227	5174	17519
228	5193	17485
229	5216	17463
230	5235	17429
231	5258	17406
232	5278	17375
233	5299	17347
234	5321	17322
235	5342	17296
236	5363	17266
237	5382	17233
238	5404	17209
239	5425	17181
240	5448	17159
241	5470	17133
242	5489	17100
243	5511	17075
244	5531	17047
245	5551	17015
246	5573	16990
247	5594	16964
248	5614	16933
249	5636	16908
250	5659	16887
251	5682	16866
252	5702	16836
253	5723	16809
254	5744	16781
255	5764	16752
256	5785	16727
257	5807	16701
258	5827	16672
259	5848	16644
260	5869	16618
261	5890	16591
262	5908	16556
263	5928	16528
264	5953	16513
265	5973	16483
266	5994	16457
267	6016	16433
268	6037	16407
269	6059	16383
270	6079	16355
271	6101	16330
272	6122	16305
273	6144	16281
274	6164	16251
275	6185	16225
276	6204	16194
277	6228	16175
278	6250	16152
279	6269	16121
280	6289	16092
281	6311	16070
282	6331	16041
283	6352	16015
284	6373	15989
285	6394	15962
286	6415	15938
287	6439	15919
288	6459	15891
289	6480	15867
290	6501	15839
291	6522	15813
292	6543	15788
293	6564	15762
294	6583	15734
295	6605	15709
296	6626	15684
297	6652	15671
298	6673	15646
299	6693	15618
300	6713	15589
301	6735	15566
302	6756	15542
303	6777	15517
304	6798	15492
305	6819	15466
306	6842	15445
307	6864	15422
308	6884	15395
309	6903	15365
310	6923	15338
311	6945	15315
312	6967	15293
313	6988	15268
314	7007	15238
315	7029	15216
316	7051	15193
317	7074	15172
318	7098	15154
319	7118	15127
320	7138	15100
321	7158	15072
