iter	Logloss
0	0.6889853844
1	0.6853599774
2	0.6817736052
3	0.6784965921
4	0.6753497453
5	0.6725744816
6	0.6703647561
7	0.6677131277
8	0.6654386502
9	0.6633013814
10	0.6611227905
11	0.6589894793
12	0.6572144939
13	0.6554159281
14	0.6538647834
15	0.6522407456
16	0.6506966134
17	0.6494768733
18	0.6481182693
19	0.6465524376
20	0.6450197419
21	0.6436784282
22	0.6424609754
23	0.6413877739
24	0.6403578358
25	0.6392831445
26	0.6381553635
27	0.6371595093
28	0.6361204821
29	0.6350929516
30	0.63394934
31	0.6328799457
32	0.631868923
33	0.6308910663
34	0.6299078526
35	0.6291138839
36	0.6280790099
37	0.6272700534
38	0.6265310254
39	0.6255983432
40	0.6246851633
41	0.6239736132
42	0.6232308533
43	0.6224318284
44	0.6216312386
45	0.620865124
46	0.6202227651
47	0.6195939645
48	0.6189930933
49	0.618440391
50	0.6177584105
51	0.617025793
52	0.6160498324
53	0.6154068565
54	0.6145277757
55	0.6139185678
56	0.6133077196
57	0.6125765016
58	0.6120665962
59	0.6115156245
60	0.6110663028
61	0.6102454131
62	0.609693689
63	0.6090095264
64	0.6081782986
65	0.6076264541
66	0.6070163433
67	0.6066244302
68	0.6060396454
69	0.605590083
70	0.6049525545
71	0.6044720832
72	0.6039407042
73	0.6033636842
74	0.6030378925
75	0.602616786
76	0.6022459553
77	0.6017437245
78	0.6011961536
79	0.6005100499
80	0.6000263733
81	0.5995993379
82	0.5989123011
83	0.5984431761
84	0.5979440753
85	0.597457028
86	0.5971074452
87	0.5966312627
88	0.5963463717
89	0.5960515942
90	0.5956335124
91	0.5952534873
92	0.5947322958
93	0.5943881003
94	0.593917636
95	0.5935985708
96	0.593246791
97	0.5927964762
98	0.5923576581
99	0.5919121737
100	0.5913369444
101	0.5909864587
102	0.5905790461
103	0.5901913314
104	0.589963548
105	0.5896082169
106	0.5892104049
107	0.588883605
108	0.5884430714
109	0.5880536111
110	0.5875275892
111	0.587046832
112	0.5865700325
113	0.5862104879
114	0.5858340292
115	0.5852975789
116	0.5849709746
117	0.5846621722
118	0.5843645506
119	0.5839154396
120	0.5836503369
121	0.5832651503
122	0.5828858024
123	0.5824416422
124	0.5821045945
125	0.581733207
126	0.5814554038
127	0.581117077
128	0.5807405129
129	0.5803749641
130	0.5800663875
131	0.5797374808
132	0.5794453367
133	0.5791676839
134	0.5787549442
135	0.57825947
136	0.5779426921
137	0.5777151345
138	0.5772066135
139	0.5769004897
140	0.5765283649
141	0.576028316
142	0.5756878674
143	0.5752904316
144	0.5749325423
145	0.5746469441
146	0.5742995885
147	0.57392945
148	0.5737080019
149	0.5734585343
150	0.5730042768
151	0.572756028
152	0.5723959718
153	0.572034802
154	0.5718162883
155	0.5715025652
156	0.5710992757
157	0.5707213573
158	0.5703612709
159	0.570092
160	0.5696219119
161	0.5692586203
162	0.5691488744
163	0.5687521158
164	0.5684954852
165	0.5681499654
166	0.5677388058
167	0.567346998
168	0.5669997025
169	0.566718363
170	0.5662904397
171	0.5660081973
172	0.565701321
173	0.5653575017
174	0.565063311
175	0.5648610343
176	0.5644955005
177	0.5642463639
178	0.5638841407
179	0.5636332134
180	0.5631369265
181	0.5628952087
182	0.5627372335
183	0.5624160616
184	0.5621888802
185	0.5619035078
186	0.5617121409
187	0.5613729864
188	0.561167068
189	0.5609385022
190	0.5607000949
191	0.5603002213
192	0.5600390763
193	0.5597473536
194	0.5595313379
195	0.5592045831
196	0.5588332107
197	0.5583763047
198	0.5581763905
199	0.5579105054
200	0.5575157783
201	0.5571526371
202	0.5569551457
203	0.5566429876
204	0.556308498
205	0.5558437972
206	0.5555104814
207	0.5552322719
208	0.5549334915
209	0.5546838885
210	0.5543961835
211	0.5542073297
212	0.5537443142
213	0.5534132256
214	0.5531458958
215	0.5527292586
216	0.5525338438
217	0.5522606152
218	0.5519629785
219	0.5515445205
220	0.5512461766
221	0.5509249746
222	0.5506531755
223	0.5503252018
224	0.5499155921
225	0.549460808
226	0.5491065452
227	0.5486943623
228	0.5483013507
229	0.5478995961
230	0.5476191444
231	0.5472280438
232	0.5470544036
233	0.5466803677
234	0.5464464447
235	0.5461735772
236	0.5458448211
237	0.5453601664
238	0.5450015849
239	0.5447662323
240	0.5445289838
241	0.5442055697
242	0.5439430854
243	0.5437018942
244	0.5434198173
245	0.5432247034
246	0.5429660714
247	0.542720441
248	0.5423153608
249	0.541869741
250	0.5416086411
251	0.541224237
252	0.5409707365
253	0.5406565469
254	0.5403806246
255	0.540130239
256	0.5398524207
257	0.5395576582
258	0.5393363005
259	0.5389581564
260	0.5386503321
261	0.5382658377
262	0.5378158389
263	0.5374907544
264	0.5372024777
265	0.536876987
266	0.5365674623
267	0.536236178
268	0.5360101403
269	0.5356808123
270	0.5353437194
271	0.5351276736
272	0.5347991733
273	0.5345503376
274	0.5341359727
275	0.5338665964
276	0.5334556775
277	0.5332287971
278	0.5329386243
279	0.5327060406
280	0.5323770587
281	0.5320548184
282	0.5317376191
283	0.5314663016
284	0.531195571
285	0.530870938
286	0.5304775652
287	0.5301049438
288	0.5297536605
289	0.5293879311
290	0.5291203305
291	0.5289083327
292	0.5286532521
293	0.5284027461
294	0.5281138373
295	0.5277149569
296	0.5274563851
297	0.5271708171
298	0.5267783622
299	0.5265071952
300	0.5262587959
301	0.5259850256
302	0.5257093441
303	0.5253609501
304	0.5250855997
305	0.5248263508
306	0.5246054595
307	0.5243471435
308	0.5240395751
309	0.5237588826
310	0.5234712228
311	0.5232449594
312	0.5229582627
313	0.5226111327
314	0.5223746215
315	0.5221331895
316	0.5219095896
317	0.5216611151
318	0.5213844104
319	0.521125327
320	0.520882962
321	0.5205775906
322	0.5203753138
323	0.5200046788
324	0.5196792031
325	0.5194589589
326	0.5191203612
327	0.518906061
328	0.5185383152
329	0.5182663807
330	0.5179317407
331	0.5176670895
332	0.5174559945
333	0.5172541541
334	0.5170060408
335	0.5166875775
336	0.5165084899
337	0.5161740606
338	0.5159003805
339	0.5156000051
340	0.5153204111
341	0.5150363177
342	0.514790898
343	0.5146392281
344	0.5143767739
345	0.5141134469
346	0.5139535607
347	0.5136487761
348	0.5133883836
349	0.5131305943
350	0.5128127781
351	0.5125535893
352	0.5123123079
353	0.5120476115
354	0.5118318667
355	0.5115544697
356	0.5112433048
357	0.5109317035
358	0.5107462806
