iter	Passed	Remaining
0	162	161927
1	187	93425
2	212	70476
3	238	59303
4	262	52247
5	287	47656
6	312	44263
7	337	41876
8	362	39924
9	387	38387
10	414	37239
11	440	36307
12	465	35338
13	489	34450
14	514	33757
15	540	33219
16	564	32667
17	588	32129
18	613	31679
19	637	31236
20	664	30957
21	686	30514
22	712	30262
23	737	29981
24	761	29710
25	786	29470
26	812	29276
27	836	29041
28	861	28836
29	887	28686
30	910	28463
31	936	28331
32	960	28137
33	986	28036
34	1012	27909
35	1037	27780
36	1061	27624
37	1085	27482
38	1109	27327
39	1136	27274
40	1160	27139
41	1185	27031
42	1210	26937
43	1234	26825
44	1258	26715
45	1283	26613
46	1308	26533
47	1334	26467
48	1357	26354
49	1381	26247
50	1408	26212
51	1432	26122
52	1456	26021
53	1482	25970
54	1505	25873
55	1532	25827
56	1555	25736
57	1580	25674
58	1604	25585
59	1629	25534
60	1652	25437
61	1677	25380
62	1700	25293
63	1725	25240
64	1749	25169
65	1773	25103
66	1797	25030
67	1821	24968
68	1846	24917
69	1867	24817
70	1895	24805
71	1920	24756
72	1944	24695
73	1972	24687
74	1996	24623
75	2021	24578
76	2045	24515
77	2072	24500
78	2096	24438
79	2122	24403
80	2146	24351
81	2171	24308
82	2194	24242
83	2219	24198
84	2242	24144
85	2267	24099
86	2289	24028
87	2313	23979
88	2335	23905
89	2357	23834
90	2385	23826
91	2409	23784
92	2433	23732
93	2455	23663
94	2479	23624
95	2502	23561
96	2525	23507
97	2551	23481
98	2576	23447
99	2600	23400
100	2624	23361
101	2647	23311
102	2672	23272
103	2694	23210
104	2717	23161
105	2742	23128
106	2766	23087
107	2789	23039
108	2813	22999
109	2839	22975
110	2866	22954
111	2891	22926
112	2915	22885
113	2939	22843
114	2963	22809
115	2989	22782
116	3012	22737
117	3036	22699
118	3059	22651
119	3084	22618
120	3106	22565
121	3131	22534
122	3155	22495
123	3179	22464
124	3203	22421
125	3227	22385
126	3249	22340
127	3271	22289
128	3296	22257
129	3320	22221
130	3345	22192
131	3371	22167
132	3395	22132
133	3417	22086
134	3442	22057
135	3467	22030
136	3491	21994
137	3514	21949
138	3540	21928
139	3562	21882
140	3586	21851
141	3611	21819
142	3635	21788
143	3657	21742
144	3681	21708
145	3706	21678
146	3728	21632
147	3753	21609
148	3775	21563
149	3799	21529
150	3822	21493
